SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,,,,
548, 地处 bloomfield little italy 。,1,bloomfield little italy,花开之地 小意大利,,,,,,,,, 地处花开之地小意大利。,1,3,1,[0],[1_ 2_ 3],[4],,,,
551, 这个 房子 的 短 租 没有 联系 email : em@0,1,email,电子邮件,,,,,,,,, 这个 房子 的 短 租 没有 联系 电子邮箱: em@0,7,1,2,[0_ 1_ 2_ 3_ 4_ 5_ 6],[7],[8_ 9],,,,
553, 去 waterfront 特别 方便 。,1,waterfront,滨水区,,,,,,,,, 去 滨水区 特别 方便 。,3,1,1,[0_ 2_ 3],[1],[4],,,,
555, 房子 的 大致 floor plan,1,floor plan,户型,,,,,,,,, 房子 的 大致户型,3,2,0,[0_ 1_ 2],[3_ 4],[],,,,
556, 离 超市 giant eagle 近 。,1,giant eagle,巨鹰,,,,,,,,, 离 超市 巨鹰近 。,3,2,1,[0_ 1_ 4],[2_ 3],[5],,,,
558, 公寓 旁边 mellon park ， 周末 锻炼 休闲 的 好 去处 。,1,mellon park,梅伦公园,,,,,,,,, 公寓 旁边梅伦公园， 周末 锻炼 休闲 的 好 去处 。,8,2,2,[0_ 1_ 5_ 6_ 7_ 8_ 9_ 10],[2_ 3],[4_ 11],,,,
559, 走进 房子 就 觉得 房子 是 一 个 happy house ！,1,happy house,令人开心的房子,,,,,,,,, 走进 房子 就 觉得 房子 是 一 个 气氛愉悦的地方！,8,2,1,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7],[8_ 9],[10],,,,
561, 我 有 一 个 房子 出租 ， 坐落 在 greenfield 。,1,greenfield,绿地,,,,,,,,, 我 有 一 个 房子 出租 ， 坐落 在 绿地。,8,1,2,[0_ 1_ 2_ 3_ 4_ 5_ 7_ 8],[9],[6_ 10],,,,
562, ---- update ， 租 到 啦,1,update,更新,,,,,,,,, ---- 更新， 租 到 啦,3,1,2,[3_ 4_ 5],[1],[0_ 2],,,,
563, 联系 方式 ： email : em@23,1,email,邮箱,,,,,,,,, 联系 方式 ： 邮箱: em@23,2,1,3,[0_ 1],[3],[2_ 4_ 5],,,,
564, 租 一 个 房间 或者 一 个 house 都 可以 。,1,house,房子,,,,,,,,, 租 一 个 房间 或者 一 整个房子都 可以 。,9,1,1,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 8_ 9],[7],[10],,,,
567, 在 highland park 附近 。,1,highland park,高地公园,,,,,,,,, 在 高地公园附近 。,2,2,1,[0_ 3],[1_ 2],[4],,,,
568, 还有 个别 house 和 个别 单独 的 房间 招租 。,1,house,房子,,,,,,,,, 还有 个别 房子和 个别 单独 的 房间 招租 。,8,1,1,[0_ 1_ 3_ 4_ 5_ 6_ 7_ 8],[2],[9],,,,
569, 房间 位 于 house 三 层 楼 的 第三 层 。,1,house,房子,,,,,,,,, 房间 位 于 房子三 层 楼 的 第三 层 。,9,1,1,[0_ 1_ 2_ 4_ 5_ 6_ 7_ 8_ 9],[3],[10],,,,
570, ， squirrel hill 公交 ：,1,squirrel hill,松鼠丘,,,,,,,,, ， 松鼠丘公交 ：,1,2,2,[3],[1_ 2],[0_ 4],,,,
571, 整个 house 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,1,house,房子,,,,,,,,, 整个 房子家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,14,1,4,[0_ 2_ 3_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 15_ 16_ 17],[1],[4_ 9_ 14_ 18],,,,
572, 不 包括 utilities .,1,utilities,各种服务费,,,,,,,,, 不 包括 各种服务费.,2,1,1,[0_ 1],[2],[3],,,,
573, update on 7-27/2016-- 还有 两 个 卧室 招租 ， 欢迎 联系 。,1,update on,更新,,,,,,,,,  7-27/2016的更新- 还有 两 个 卧室 招租 ， 欢迎 联系 。,7,2,3,[3_ 4_ 5_ 6_ 7_ 9_ 10],[0_ 1],[2_ 8_ 11],,,,
574, cindy wrote : update on 7-27/2016-- 还有 两 个 卧室 招租 ， 欢迎 联系 。,2,cindy wrote,辛迪写道：,update on,更新,,,,,,, 辛迪写道 :  7-27/2016的更新-- 还有 两 个 卧室 招租 ， 欢迎 联系 。,7,4,4,[6_ 7_ 8_ 9_ 10_ 12_ 13],[0_ 1_ 3_ 4],[2_ 5_ 11_ 14],,,,
577, 具体 信息 如下 ： eldridge house : rent : 700-750 / month/bedroom.,2,eldridge house,埃尔德里奇整套房子,rent,租赁,,,,,,, 具体 信息 如下 ：埃尔德里奇整套房子 : 租赁: 700-750 / 每月/单间卧室.,3,3,6,[0_ 1_ 2],[4_ 5_ 7],[3_ 6_ 8_ 9_ 10_ 11],,,,
578, 可以 租 整 个 house ， 也 可以 租 单独 一 个 两 个 卧室 。,1,house,房子,,,,,,,,, 可以 租 整 个 房子， 也 可以 租 单独 一 个 两 个 卧室 。,13,1,2,[0_ 1_ 2_ 3_ 6_ 7_ 8_ 9_ 10_ 11_ 12_ 13_ 14],[4],[5_ 15],,,,
579, 如果 没有 简单 介绍 ， 我 会 认为 很 可能 是 scam 。,1,scam,骗局,,,,,,,,, 如果 没有 简单 介绍 ， 我 会 认为 很 可能 是 诈骗。,10,1,2,[0_ 1_ 2_ 3_ 5_ 6_ 7_ 8_ 9_ 10],[11],[4_ 12],,,,
583, ps : 中国 房东 ， 特别 nice .,2,ps,备注,nice,好,,,,,,, 备注: 中国 房东 ， 特别 好.,3,2,3,[2_ 3_ 5],[0_ 6],[1_ 4_ 7],,,,
584, college garden 公寓 属于 pitt 学校 资产 并由 学校 负责 管理 与 维护 。,2,college garden,大学花园,pitt,匹兹堡,,,,,,, 大学花园公寓 属于 匹兹堡学校 资产 并由 学校 负责 管理 与 维护 。,10,3,1,[2_ 3_ 5_ 6_ 7_ 8_ 9_ 10_ 11_ 12],[0_ 1_ 4],[13],,,,
585, 联系 的 时候 麻烦 告知 the length of your lease ， lease starting date ， etc .,3,the length of your lease,租期长度,lease starting date,租期开始日,etc,等等,,,,, 联系 的 时候 麻烦 告知 租期长度，租期开始日等等,5,9,3,[0_ 1_ 2_ 3_ 4],[5_ 6_ 7_ 8_ 9_ 11_ 12_ 13_ 15],[10_ 14_ 16],,,,
586, 房东 只 给 了 一 张 house 外 观照 ， 比较 irrelevant 我 就 不 po 了 。,3,house,房子,irrelevant,无关,po,上传,,,,, 房东 只 给 了 一 张 房子外 观照 ， 比较 无关紧要我 就 不 上传了 。,13,3,2,[0_ 1_ 2_ 3_ 4_ 5_ 7_ 8_ 10_ 12_ 13_ 14_ 16],[6_ 11_ 15],[9_ 17],,,,
587, 目前 只有 两 个 房间 available .,1,available,可租,,,,,,,,, 目前 只有 两 个 房间 可租.,5,1,1,[0_ 1_ 2_ 3_ 4],[5],[6],,,,
588, 附近 的 初中 jefferson middle school 和 高中 mt.,1,jefferson middle school,杰弗森中学,,,,,,,,, 附近 的 初中杰弗森中学和 高中,5,3,1,[0_ 1_ 2_ 6_ 7],[3_ 4_ 5],[8],,,,
590, 如果 感 兴趣 ， 请 通过 email 联系 em@7,1,email,邮箱,,,,,,,,, 如果 感 兴趣 ， 请 通过 邮箱联系 em@7,6,1,2,[0_ 1_ 2_ 4_ 5_ 7],[6],[3_ 8],,,,
591, 求 在 此 期间 一 周 短 租 ， 最 好在 squirrel hill/shadyside 地区 。,1,squirrel,松鼠山/沙地区,,,,,,,,, 求 在 此 期间 一 周 短 租 ， 最 好在 松鼠山或沙地区 。,11,1,3,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 9_ 10_ 13],[11],[8_ 12_ 14],,,,
593, 由于 妹子 已经 租 好 north oakland 的 房子 ， 所以 我 也 想 租 那 附近 的 。,1,north oakland,北奥克兰,,,,,,,,, 由于 妹子 已经 租 好 北奥克兰的 房子 ， 所以 我 也 想 租 那 附近 的 。,15,2,2,[0_ 1_ 2_ 3_ 4_ 7_ 8_ 10_ 11_ 12_ 13_ 14_ 15_ 16_ 17],[5_ 6],[9_ 18],,,,
596, 确实 email 过 我 啊 ， em@25,1,email,发邮件,,,,,,,,, 确实发过邮件给我 啊 ， em@25,4,1,2,[0_ 2_ 3_ 4],[1],[5_ 6],,,,
597, 整个 house 的 结构 ： 一 楼 是 客厅 、 餐厅 和 厨房 （ 厨房 很 好 ， 夏天 可以 打开 后门 到 阳台 ） 。,1,house,房子,,,,,,,,, 整个 房子的 结构 ： 一 楼 是 客厅 、 餐厅 和 厨房 （ 厨房 很 好 ， 夏天 可以 打开 后门 到 阳台 ） 。,19,1,6,[0_ 2_ 3_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 14_ 15_ 16_ 18_ 19_ 20_ 21_ 22_ 23],[1],[4_ 9_ 13_ 17_ 24_ 25],,,,
598, 地处 squirrel hill 中心 地带 ， 但 非常 安静 。,1,squirrel hill,松鼠山,,,,,,,,, 地处 松鼠山中心 地带 ， 但 非常 安静 。,6,2,2,[0_ 3_ 4_ 6_ 7_ 8],[1_ 2],[5_ 9],,,,
599, 紧邻 murry ave ， 美食 购物 都 非常 方便 。,1,murry ave,梅瑞大道,,,,,,,,, 紧邻梅瑞大道， 美食 购物 都 非常 方便 。,6,2,2,[0_ 4_ 5_ 6_ 7_ 8],[1_ 2],[3_ 9],,,,
600, 到 超市 giant eagle 和 餐厅 走路 几 分钟 。,1,giant eagle,巨鹰,,,,,,,,, 到 巨鹰超市 和 餐厅 走路 几 分钟 。,7,2,1,[0_ 1_ 4_ 5_ 6_ 7_ 8],[2_ 3],[9],,,,
603, 希望 房子 是 在 squirrel hill 或者 greenfield ， 其他 地方 也 可以 考虑 。,2,squirrel hill,松鼠山,greenfield,绿地,,,,,,, 希望 房子 是 在 松鼠山或者绿地 ， 其他 地方 也 可以 考虑 。,10,3,2,[0_ 1_ 2_ 3_ 6_ 9_ 10_ 11_ 12_ 13],[4_ 5_ 7],[8_ 14],,,,
605, 周边 ： 附近 有 bar 和 餐厅 ， 还 有 小 超市 。,1,bar,酒吧,,,,,,,,, 周边 ： 附近 有 酒吧和 餐厅 ， 还 有 小 超市 。,9,1,3,[0_ 2_ 3_ 5_ 6_ 8_ 9_ 10_ 11],[4],[1_ 7_ 12],,,,
607, 卧室 大 ， 含 full size 床 ， 以及 公司 准备 的 桌子 和 转椅 （ 这 是 我 特别 和 公司 协商 的 他们 可以 提供 ） ， 真正 做到 拎包 入住 ！,1,full size,单人床,,,,,,,,, 卧室 大 ， 含 单人 床 ， 以及 公司 准备 的 桌子 和 转椅 （ 这 是 我 特别 和 公司 协商 的 他们 可以 提供 ） ， 真正 做到 拎包 入住 ！,26,2,6,[0_ 1_ 3_ 6_ 8_ 9_ 10_ 11_ 12_ 13_ 14_ 16_ 17_ 18_ 19_ 20_ 21_ 22_ 23_ 24_ 25_ 26_ 29_ 30_ 31_ 32],[4_ 5],[2_ 7_ 15_ 27_ 28_ 33],,,,
608, 缺点 是 三 个 人 share 一 个 full bathroom ， 但 考虑 到 距离 和 utilities 和 家具 全 包 等 条件 ， 这 绝对 是 个 特别 好的 选择,3,share,共用,full bathroom,整套卫生间,utilities,各类服务费,,,,, 缺点 是 三 个 人 共用一整个卫生间 ， 但 考虑 到 距离 和 水电气费和 家具 全 包 等 条件 ， 这 绝对 是 个 特别 好的 选择,25,4,2,[0_ 1_ 2_ 3_ 4_ 6_ 7_ 11_ 12_ 13_ 14_ 15_ 17_ 18_ 19_ 20_ 21_ 22_ 24_ 25_ 26_ 27_ 28_ 29_ 30],[5_ 8_ 9_ 16],[10_ 23],,,,
609, 房子 ： 是 一 个 house ， 有 中央 空调 。,1,house,房子,,,,,,,,, 房子 ： 是 一 个 整套房子， 有 中央 空调 。,7,1,3,[0_ 2_ 3_ 4_ 7_ 8_ 9],[5],[1_ 6_ 10],,,,
610, 出租 时间 和 租金 ： 7/31/2016 ~ 6/30/2016，$300 / month .,1,month,月,,,,,,,,, 出租 时间 和 租金 ： 7/31/2016 ~ 6/30/2016，$300 每月 .,4,1,6,[0_ 1_ 2_ 3],[9],[4_ 5_ 6_ 7_ 8_ 10],,,,
611, ldingid=121b1b 的 户型 ， 顶层 ， 客厅 view 超级 好 。,1,view,视野,,,,,,,,, ldingid=121b1b 的 户型 ， 顶层 ， 客厅布置 超级 好 。,6,1,4,[1_ 2_ 4_ 6_ 8_ 9],[7],[0_ 3_ 5_ 10],,,,
612, 房租 已 包含 所有 utility .,1,utility,服务费,,,,,,,,, 房租 已 包含 所有 服务费.,4,1,1,[0_ 1_ 2_ 3],[4],[5],,,,
613, 位置 在 fifth ave and shady ave .,1,fifth ave and shady ave,第五大道和沙地大道,,,,,,,,, 位置 在 第五大道和沙地大道,2,5,1,[0_ 1],[2_ 3_ 4_ 5_ 6],[7],,,,
617, 一楼 有 doorman ， 负责 人员 进出 管理 以及 收发 包裹 ， 所以 不用 担心 安全 问题 以及 包裹 丢失 。,1,doorman,门卫,,,,,,,,,,17,1,3,[0_ 1_ 4_ 5_ 6_ 7_ 8_ 9_ 10_ 12_ 13_ 14_ 15_ 16_ 17_ 18_ 19],[2],[3_ 11_ 20],,,,
618, 有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街 pa 。,3,indoor,室内,outdoor,室外,pa,停车,,,,, 有 室内和室外的 停车场 ， 而且 周围 的 街区 都 可以 免费 沿街停车。,12,3,2,[0_ 2_ 4_ 5_ 7_ 8_ 9_ 10_ 11_ 12_ 13_ 14],[1_ 3_ 15],[6_ 16],,,,
619, 如果 感 兴趣 ， 请 通过 email 联系 em@7,1,email,电子邮箱,,,,,,,,, 如果 感 兴趣 ， 请 通过 电子邮箱 联系 em@7,6,1,2,[0_ 1_ 2_ 4_ 5_ 7],[6],[3_ 8],,,,
620, 现有 northumberland house 一 枚 ， 5b/3b ， 暑期 出租 。,1,northumberland house,诺桑比地房子,,,,,,,,, 现有诺桑比地整套房子一 枚 ， 5b/3b ， 暑期 出租 。,5,2,4,[0_ 3_ 4_ 8_ 9],[1_ 2],[5_ 6_ 7_ 10],,,,
621, 卧室 内 一 个 closet ， 客厅 另 有 一 个 closet 。,2,closet,衣柜,closet,衣柜,,,,,,, 卧室 内 一 个 衣柜， 客厅 另 有 一 个 衣柜。,9,2,2,[0_ 1_ 2_ 3_ 6_ 7_ 8_ 9_ 10],[4_ 11],[5_ 12],,,,
622, 因为 是 学校 的 房产 ， 住户 基本 均 为 匹 大 的 faculty 和 学生 ， 很 安全 而且 维修 管理 服务 便利 。,1,faculty,教职工,,,,,,,,, 因为 是 学校 的 房产 ， 住户 基本 均 为 匹 大 的 教职工和 学生 ， 很 安全 而且 维修 管理 服务 便利 。,21,1,3,[0_ 1_ 2_ 3_ 4_ 6_ 7_ 8_ 9_ 10_ 11_ 12_ 14_ 15_ 17_ 18_ 19_ 20_ 21_ 22_ 23],[13],[5_ 16_ 24],,,,
623, bedroom 个数 至少 两 个 及 以上 ；,1,bedroom,卧室,,,,,,,,, 卧室个数 至少 两 个 及 以上 ；,6,1,1,[1_ 2_ 3_ 4_ 5_ 6],[0],[7],,,,
624, apt 或者 house 都 可以 。,2,apt,公寓,house,整套房子,,,,,,, 公寓或者 整套房子都 可以 。,3,2,1,[1_ 3_ 4],[0_ 2],[5],,,,
625, 经常 去 downtown 的 同学 可以 坐 p1 系列 公交 专线 直达 downtown ， 绝 对比 uber 经济 实惠 。,4,downtown,市中心,p1,,downtown,市中心,uber,优步,,, 经常 去 市中心的 同学 可以 坐 p1 系列 公交 专线 直达 市中心， 绝 对比 优步经济 实惠 。,14,4,2,[0_ 1_ 3_ 4_ 5_ 6_ 8_ 9_ 10_ 11_ 14_ 15_ 17_ 18],[2_ 7_ 12_ 16],[13_ 19],,,,
626, 门口 有 cvs ， 购物 十分 方便 。,1,cvs,cvs,,,,,,,,, 门口 有 cvs ， 购物 十分 方便 。,5,1,2,[0_ 1_ 4_ 5_ 6],[2],[3_ 7],,,,
627, 布局 ： 该 house 有 四 室 两 卫 ， 三 间 卧室 在 二 楼 ， 一 间 在 三 楼 ， 一 间 卫生间 在 二 楼 一 间 在 一 楼 。,1,house,房子,,,,,,,,, 布局 ： 该 房子 有 四 室 两 卫 ， 三 间 卧室 在 二 楼 ， 一 间 在 三 楼 ， 一 间 卫生间 在 二 楼 一 间 在 一 楼 。,29,1,5,[0_ 2_ 4_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 14_ 15_ 17_ 18_ 19_ 20_ 21_ 23_ 24_ 25_ 26_ 27_ 28_ 29_ 30_ 31_ 32_ 33],[3],[1_ 9_ 16_ 22_ 34],,,,
628, 本 卧室 空间 较大 ， 可 放置 两 张 full size 床 。,1,full size,单人床,,,,,,,,, 本 卧室 空间 较大 ， 可 放置 两 张 单人 床 。,9,2,2,[0_ 1_ 2_ 3_ 5_ 6_ 7_ 8_ 11],[9_ 10],[4_ 12],,,,
629, 停车 ： 有 off street parking .,1,off street parking,路外停车场,,,,,,,,, 停车 ： 有 路外停车场 .,2,3,2,[0_ 2],[3_ 4_ 5],[1_ 6],,,,
630, 如果 感 兴趣 ， 请 通过 email 联系 em@7,1,email,电子邮件,,,,,,,,, 如果 感 兴趣 ， 请 通过 电子邮件联系 em@7,6,1,2,[0_ 1_ 2_ 4_ 5_ 7],[6],[3_ 8],,,,
631, 短期 的 summer lease 也 可 考虑 。,1,summer lease,暑期短租,,,,,,,,, 短期 的 暑期短租 也 可 考虑 。,5,2,1,[0_ 1_ 4_ 5_ 6],[2_ 3],[7],,,,
632, 无线 网络 和 utility 全部 办好 了 ， 不 需要 自己 花 时间 交 押金 申请 ， 只 需要 share 就 可以 。,2,utility,水电气费,share,分摊,,,,,,, 无线 网络 和 各类服务费用全部 办好 了 ， 不 需要 自己 花 时间 交 押金 申请 ， 只 需要 分摊就 可以 。,18,2,3,[0_ 1_ 2_ 4_ 5_ 6_ 8_ 9_ 10_ 11_ 12_ 13_ 14_ 15_ 17_ 18_ 20_ 21],[3_ 19],[7_ 16_ 22],,,,
633, 如果 有 兴趣 ， 各位 同学 可以 站 内 留言 或者 email ， 告诉 我 对 房子 的 要求 。,1,email,发邮件,,,,,,,,, 如果 有 兴趣 ， 各位 同学 可以 站 内 留言 或者 发邮件， 告诉 我 对 房子 的 要求 。,16,1,3,[0_ 1_ 2_ 4_ 5_ 6_ 7_ 8_ 9_ 10_ 13_ 14_ 15_ 16_ 17_ 18],[11],[3_ 12_ 19],,,,
634, 也 可以 直接 email : em@0,1,email,发邮件,,,,,,,,, 也 可以 直接 发邮件: em@0,3,1,2,[0_ 1_ 2],[3],[4_ 5],,,,
635, town house ， 四 卧室 。,1,town house,市内宅邸,,,,,,,,, 市内宅邸， 四 卧室 。,2,2,2,[3_ 4],[0_ 1],[2_ 5],,,,
636, 电话 ： pn-4 ， email,1,email,邮箱,,,,,,,,, 电话 ： pn-4 ， email,1,1,3,[0],[4],[1_ 2_ 3],,,,
637, 具体 floor plan :,1,floor plan,户型,,,,,,,,, 具体 户型 :,1,2,1,[0],[1_ 2],[3],,,,
638, lease 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,租期,,,,,,,,, 租期从 八月 开始 ， 具体 日期 可以 商量 。,7,1,2,[1_ 2_ 3_ 5_ 6_ 7_ 8],[0],[4_ 9],,,,
639, house 一共 有 两 层 + 地下室 。,1,house,房子,,,,,,,,, 房子一共 有 两 层 + 地下室 。,5,1,2,[1_ 2_ 3_ 4_ 6],[0],[5_ 7],,,,
642, 具体 email 沟通 em@26,1,email,发邮件,,,,,,,,, 具体 发邮件沟通 em@26,2,1,1,[0_ 2],[1],[3],,,,
646, about apt ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,1,about apt,关于公寓,,,,,,,,,  关于公寓：两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,17,2,6,[3_ 4_ 5_ 6_ 8_ 9_ 10_ 12_ 13_ 15_ 16_ 17_ 19_ 20_ 21_ 22_ 23],[0_ 1],[2_ 7_ 11_ 14_ 18_ 24],,,,
647, still available ， 有 问题 发 邮件 给 我 ， 可以 传 照片 给 你 看,1,still available,仍然可租,,,,,,,,, 仍然可租】， 有 问题 发 邮件 给 我 ， 可以 传 照片 给 你 看,12,2,2,[3_ 4_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 14_ 15],[0_ 1],[2_ 9],,,,
648, 位置 在 chesterfield 。,1,chesterfield,查斯特菲尔德,,,,,,,,, 位置在查斯特菲尔德,2,1,1,[0_ 1],[2],[3],,,,
649, see new ad 能 麻烦 您 介绍 的 具体 一点 嘛 ？,1,see new ad,看见新的广告,,,,,,,,, 看见新的广告能 麻烦 您 介绍 的 具体 一点 嘛 ？,8,3,1,[3_ 4_ 5_ 6_ 7_ 8_ 9_ 10],[0_ 1_ 2],[11],,,,
650, 房子 房型 图 ： 周围 有 一 个 大型 超市 ， 距离 购物 街 walnut street 也 很 近 。,1,walnut street,沃尔纳特街,,,,,,,,, 房子 房型 图 ： 周围 有 一 个 大型 超市 ， 距离 购物 街 沃尔纳特街也 很 近 。,15,2,3,[0_ 1_ 2_ 4_ 5_ 6_ 7_ 8_ 9_ 11_ 12_ 13_ 16_ 17_ 18],[14_ 15],[3_ 10_ 19],,,,
651, 学校 提供 的 夜间 escort 也 路过 这个 公寓 ， 如果 在 学校 熬夜 学习 后半夜 回家 也 很 方便 。,1,escort,护送车,,,,,,,,, 学校 提供 的 夜间护送车 也 路过 这个 公寓 ， 如果 在 学校 熬夜 学习 后半夜 回家 也 很 方便 。,18,1,2,[0_ 1_ 2_ 3_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 14_ 15_ 16_ 17_ 18_ 19],[4],[9_ 20],,,,
652, f=4&t=6841&p=13029#p13029 图片 请 右键 在 新 tab 打开 。,1,tab,标签页,,,,,,,,, f=4&t=6841&p=13029#p13029 图片 请 右键 在 新 标签页打开 。,6,1,2,[1_ 2_ 3_ 4_ 5_ 7],[6],[0_ 8],,,,
653, 房子 价格 加上 所有 设施 ， 人均 每 月 大概 在 $580~$650 （ 费用 因 gas 包 不 包含 heat 而 变化 ） 。,2,gas,电气,heat,暖气,,,,,,, 房子 价格 加上 所有 设施 ， 人均 每 月 大概 在 $580~$650 （ 费用 因 电气包 不 包含 暖气而 变化 ） 。,17,2,5,[0_ 1_ 2_ 3_ 4_ 6_ 7_ 8_ 9_ 10_ 13_ 14_ 16_ 17_ 18_ 20_ 21],[15_ 19],[5_ 11_ 12_ 22_ 23],,,,
654, lobby 照片 ， 安全 有 保障,1,lobby,大厅,,,,,,,,, 大厅 照片 ， 安全 有 保障,4,1,1,[1_ 3_ 4_ 5],[0],[2],,,,
656, 更多 问题 ， 欢迎 email 我 : c.,1,email,发邮件,,,,,,,,, 更多 问题 ， 欢迎 发邮件给我 : c.,4,1,3,[0_ 1_ 3_ 5],[4],[2_ 6_ 7],,,,
657, 对面 是 giant eagle 超市 ， 步行 一 个 路口 到 whole foods 超市 ， 买 东西 很 方便 。,2,giant eagle,巨鹰超市,whole foods,全食超市,,,,,,, 对面 是 巨鹰 超市 ， 步行 一 个 路口 到 全食 超市 ， 买 东西 很 方便 。,13,4,3,[0_ 1_ 4_ 6_ 7_ 8_ 9_ 10_ 13_ 15_ 16_ 17_ 18],[2_ 3_ 11_ 12],[5_ 14_ 19],,,,
659, 这 房子 实在 是 大 到 没 朋友 ， 要 不 是 我 有 lease 在 身 我 都 想 搬 进去 。,1,lease,租约,,,,,,,,, 这 房子 实在 是 大 到 没 朋友 ， 要 不 是 我 有 租约在 身 我 都 想 搬 进去 。,20,1,2,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 9_ 10_ 11_ 12_ 13_ 15_ 16_ 17_ 18_ 19_ 20_ 21],[14],[8_ 22],,,,
660, 房东 包 除 网 以外 所有 utility 。,1,utility,服务费用,,,,,,,,, 房东 包 除 网 以外 所有 服务费用。,6,1,1,[0_ 1_ 2_ 3_ 4_ 5],[6],[7],,,,
663, 距离 murry 上 的 餐馆 、 超市 都 是 步行 的 距离 。,1,murry,梅瑞大道,,,,,,,,, 距离 梅瑞大道 上 的 餐馆 、 超市 都 是 步行 的 距离 。,10,1,2,[0_ 2_ 3_ 4_ 6_ 7_ 8_ 9_ 10_ 11],[1],[5_ 12],,,,
664, this message is expired ， 图 中 所有 家具 家电 都 免费 使用,1,this message is expired,这条消息已过期,,,,,,,,, 这条消息已过期， 图 中 所有 家具 家电 都 免费 使用,8,4,1,[5_ 6_ 7_ 8_ 9_ 10_ 11_ 12],[0_ 1_ 2_ 3],[4],,,,
666, 是 house 的 一 楼 ， 一共 三 间 房 + 厨房 + 客厅 + 卫生间 。,1,house,房子,,,,,,,,, 是 房子的 一 楼 ， 一共 三 间 房 + 厨房 + 客厅 + 卫生间 。,11,1,5,[0_ 2_ 3_ 4_ 6_ 7_ 8_ 9_ 11_ 13_ 15],[1],[5_ 10_ 12_ 14_ 16],,,,
670, 联系 方式 ： call : 412-901-7283e-mail : em@27,1,call,电话,,,,,,,,, 联系 方式 ： 电话: pn-7 邮箱: em@27,2,1,5,[0_ 1],[3],[2_ 4_ 5_ 6_ 7],,,,
673, 进出 lobby 需要 门禁 钥匙 ， 所以 非常 安全 。,1,lobby,大堂,,,,,,,,, 进出 大堂需要 门禁 钥匙 ， 所以 非常 安全 。,7,1,2,[0_ 2_ 3_ 4_ 6_ 7_ 8],[1],[5_ 9],,,,
674, 公寓 may flower 是 匹 大学 校 的 房子 ， 主要 是 提供 给 研究生 的 ， 价钱 比 商业 公寓 便宜 。,1,may flower,五月花,,,,,,,,, 公寓五月花 是 匹 大学 校 的 房子 ， 主要 是 提供 给 研究生 的 ， 价钱 比 商业 公寓 便宜 。,18,2,3,[0_ 3_ 4_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 14_ 15_ 17_ 18_ 19_ 20_ 21],[1_ 2],[9_ 16_ 22],,,,
675, 购物 ： 附近 就是 giant eagle ， 离 center 很 近 ， 吃饭 也 很 方便 .,2,giant eagle,巨鹰超市,center,中心,,,,,,, 购物 ： 附近 就是巨鹰超市 ， 离市 中心 很 近 ， 吃饭 也 很 方便 .,10,3,4,[0_ 2_ 3_ 7_ 9_ 10_ 12_ 13_ 14_ 15],[4_ 5_ 8],[1_ 6_ 11_ 16],,,,
677, 步行 到 匹 大 课室 、 图书馆 和 cafeteria 都 只 需 几 分钟 。,1,cafeteria,食堂,,,,,,,,, 步行 到 匹 大 课室 、 图书馆 和 食堂都 只 需 几 分钟 。,12,1,2,[0_ 1_ 2_ 3_ 4_ 6_ 7_ 9_ 10_ 11_ 12_ 13],[8],[5_ 14],,,,
678, 时间 不用 完全 match ， 咱们 商量 着 来 。,1,match,匹配,,,,,,,,, 时间 不用 完全 对上， 咱们 商量 着 来 。,7,1,2,[0_ 1_ 2_ 5_ 6_ 7_ 8],[3],[4_ 9],,,,
