SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,,,,,
271, 【 bonus 】 : 房东 在 google 工作 ， 可以 内 推 加 mock interview,3,bonus,福利,google,谷歌,mock interview,模拟面试,,,,, 【 福利】 : 房东 在谷歌 工作 ， 可以 内 推 加 模拟面试,7,4,4,[4_ 5_ 7_ 9_ 10_ 11_ 12],[1_ 6_ 13_ 14],[0_ 2_ 3_ 8],,,,,
272, 长 租 ： all gone,1,all gone,全没了,,,,,,,,, 长 租 ：全没了,2,2,1,[0_ 1],[3_ 4],[2],,,,,
273, 后院 《 ——————————————————————————————— 》 deck,1,deck,阳台,,,,,,,,, 后院 《 ——————————————————————————————— 》 阳台,1,1,3,[0],[4],[1_ 2_ 3],,,,,
274, 【 学习 娱乐 】 ： finished basement .,1,finished basement,完整的地下室,,,,,,,,, 【 学习 娱乐 】 ：完整的地下室 .,2,2,4,[1_ 2],[5_ 6],[0_ 3_ 4_ 7],,,,,
275, 【 bonus 】 : 房东 在 google 工作 ， 可以 内 推 加 mock interview,3,bonus,福利,google,谷歌,mock interview,模拟面试,,,,, 【福利】 : 房东 在谷歌 工作 ， 可以 内 推 加模拟面试,7,4,4,[4_ 5_ 7_ 9_ 10_ 11_ 12],[1_ 6_ 13_ 14],[0_ 2_ 3_ 8],,,,,
276, main floor 格局 《 ——————————————————————————— 》 走廊,1,main floor,主楼,,,,,,,,, 主楼格局 《 ——————————————————————————— 》 走廊,2,2,3,[2_ 6],[0_ 1],[3_ 4_ 5],,,,,
277, 水晶 吊灯 《 —————————————————————— 》 楼梯 to downstairs,1,to downstairs,去楼下,,,,,,,,, 水晶 吊灯 《 —————————————————————— 》 楼梯 去楼下,3,2,3,[0_ 1_ 5],[6_ 7],[2_ 3_ 4],,,,,
278, 材料 是 cedar 。,1,cedar,杉树,,,,,,,,, 材料 是 cedar 。,2,1,1,[0_ 1],[2],[3],,,,,
279, 地下室 《 game room and study room 》 《 ———————————— 》 外观,1,game room and study room,游戏厅和学习室,,,,,,,,, 地下室 《 游戏厅和学习室》 《 ———————————— 》 外观,2,5,5,[0_ 11],[2_ 3_ 4_ 5_ 6],[1_ 7_ 8_ 9_ 10],,,,,
280, 每个 房间 都 有 closet ， 图 中 黄色 部分 是 closet .,2,closet,衣橱,closet,衣橱,,,,,,, 每个 房间 都 有 衣橱 ， 图 中 黄色 部分 是 衣橱 .,9,2,2,[0_ 1_ 2_ 3_ 6_ 7_ 8_ 9_ 10],[4_ 11],[5_ 12],,,,,
281, 房东 在 google 工作 ， 可以 内 推 加 mock interview,2,google,谷歌,mock interview,模拟面试,,,,,,, 房东 在谷歌工作 ， 可以 内 推 加 模拟面试,7,3,1,[0_ 1_ 3_ 5_ 6_ 7_ 8],[2_ 9_ 10],[4],,,,,
282, 如果 感 兴趣 ， 请 通过 email 联系 em@11,1,email,电子邮件,,,,,,,,, 如果 感 兴趣 ， 请 通过 电子邮件 联系 em@11,6,1,2,[0_ 1_ 2_ 4_ 5_ 7],[6],[3_ 8],,,,,
283, 如果 感 兴趣 ， 请 通过 email 联系 em@11,1,email,电子邮件,,,,,,,,, 如果 感 兴趣 ， 请 通过 电子邮件 联系 em@11,6,1,2,[0_ 1_ 2_ 4_ 5_ 7],[6],[3_ 8],,,,,
284, 小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle 从 门前 经过 ， 而且 很多 。,1,shuttle,摆渡车,,,,,,,,, 小区 居民 是 学生 和 年轻 学者 ， 学校 的摆渡车从 门前 经过 ， 而且 很多 。,14,1,3,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 8_ 9_ 11_ 12_ 13_ 15_ 16],[10],[7_ 14_ 17],,,,,
285, 出门 走 一 分钟 不到 就 有 81-83 bus 。,1,bus,公交,,,,,,,,, 出门 走 一 分钟 不到 就 有 81-83 公交 。,7,1,2,[0_ 1_ 2_ 3_ 4_ 5_ 6],[8],[7_ 9],,,,,
286, leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,2,leasing office,负责租赁的办公室,lobby,大厅,,,,,,, 负责租赁的办公室 就 在 大厅， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,15,3,3,[2_ 3_ 6_ 7_ 8_ 9_ 11_ 12_ 13_ 14_ 15_ 16_ 17_ 18_ 19],[0_ 1_ 4],[5_ 10_ 20],,,,,
287, 地点 ： oakland ;,1,oakland,奥克兰,,,,,,,,, 地点 ：奥克兰 ;,1,1,2,[0],[2],[1_ 3],,,,,
288, 联系 方式 : email : em@14,1,email,电子邮件,,,,,,,,, 联系 方式 : 电子邮件 : em@14,2,1,3,[0_ 1],[3],[2_ 4_ 5],,,,,
289, 该 公寓 是 匹兹堡 最 火 的 公寓 ， 口碑 物业 meyers 旗下 最 受 中国 学生 欢迎 的 公寓 ， 性价比 高 。,1,meyers,迈耶斯,,,,,,,,, 该 公寓 是 匹兹堡 最 火 的 公寓 ， 口碑 物业 迈耶斯 旗下 最 受 中国 学生 欢迎 的 公寓 ， 性价比 高 。,20,1,3,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 9_ 10_ 12_ 13_ 14_ 15_ 16_ 17_ 18_ 19_ 21_ 22],[11],[8_ 20_ 23],,,,,
290, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
291, 公寓 门口 可以 street parking 。,1,street parking,路边停车,,,,,,,,, 公寓 门口 可以 路边停车。,3,2,1,[0_ 1_ 2],[3_ 4],[5],,,,,
292, lebanon ， 该 区 高中 在 滨州 公立 排名 第九 。,1,lebanon,黎巴嫩,,,,,,,,, 黎巴嫩 ， 该 区 高中 在 滨州 公立 排名 第九 。,8,1,2,[2_ 3_ 4_ 5_ 6_ 7_ 8_ 9],[0],[1_ 10],,,,,
293, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
294, 装修 好 的 single family house 在 forest hills ， 小区 环境 优美 ， 步行 3-5 分钟 有 两 个 公园 。,2,single family house,单个家庭住宅,forest hills,森林山,,,,,,, 装修 好 的单个家庭住宅 在 森林山 ， 小区 环境 优美 ， 步行 3-5 分钟 有 两 个 公园 。,13,5,4,[0_ 1_ 2_ 6_ 10_ 11_ 12_ 14_ 16_ 17_ 18_ 19_ 20],[3_ 4_ 5_ 7_ 8],[9_ 13_ 15_ 21],,,,,
295, 有意 请 email ： em@15,1,email,电子邮件,,,,,,,,, 有意 请 电子邮件 ： em@15,2,1,2,[0_ 1],[2],[3_ 4],,,,,
296, 地处 greenfield ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,1,greenfield,格林菲尔德,,,,,,,,, 地处 格林菲尔德 ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,8,1,3,[0_ 3_ 4_ 5_ 7_ 8_ 10_ 11],[1],[2_ 6_ 9],,,,,
297, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
298, 价格 ： $300 / 月 + utilities 费用 。,1,utilities,水电气,,,,,,,,, 价格 ： $300 / 月 + 水电气 费用 。,3,1,5,[0_ 4_ 7],[6],[1_ 2_ 3_ 5_ 8],,,,,
299, rich neighborhood ， 非常 安全 ， 旁边 就 是 公园 ， 环境 很 好 很 安静 。,1,rich neighborhood,富人区,,,,,,,,, 富人区， 非常 安全 ， 旁边 就 是 公园 ， 环境 很 好 很 安静 。,11,2,4,[3_ 4_ 6_ 7_ 8_ 9_ 11_ 12_ 13_ 14_ 15],[0_ 1],[2_ 5_ 10_ 16],,,,,
300, trader joe's 和 target 更 是 在 步行 范围 内 。,2,trader,交易员,target,塔吉特,,,,,,, 缺的舅 和 塔吉特 更 是 在 步行 范围 内 。,7,2,2,[2_ 4_ 5_ 6_ 7_ 8_ 9],[0_ 3],[1_ 10],,,,,
301, 非常 便利 的 位置 ， 适合 summer,1,summer,暑假,,,,,,,,, 非常 便利 的 位置 ， 适合 暑假,5,1,1,[0_ 1_ 2_ 3_ 5],[6],[4],,,,,
302, 【 吃 货 福音 】 附近 有 sichuan gourmet ， 台湾 味 ， every day noodle ， 各 种 小吃 ， 以及 中 超 panda ， giant eagle 。,4,sichuan gourmet,府河人家,every day noodle,天天 见面 ,panda,熊猫,giant eagle,大老鹰,,, 【 吃 货 福音 】 附近 有 府河人家 ， 台湾 味 ， 天天 见面  ， 各 种 小吃 ， 以及 中 超 熊猫 ， 大老鹰 。,13,8,8,[1_ 2_ 3_ 5_ 6_ 10_ 11_ 17_ 18_ 19_ 21_ 22_ 23],[7_ 8_ 13_ 14_ 15_ 24_ 26_ 27],[0_ 4_ 9_ 12_ 16_ 20_ 25_ 28],,,,,
303, 物业 是 mozart ， 房间 维修 处理 非常 及时 。,1,mozart,莫扎特,,,,,,,,, 物业 是 莫扎特 ， 房间 维修 处理 非常 及时 。,7,1,2,[0_ 1_ 4_ 5_ 6_ 7_ 8],[2],[3_ 9],,,,,
304, utility : 自理 （ 约 70-100 / 月 ）,1,utility,水电气,,,,,,,,, 水电气 : 自理 （ 约 70-100 / 月 ）,3,1,5,[2_ 4_ 7],[0],[1_ 3_ 5_ 6_ 8],,,,,
305, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区.,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
306, 有意 者 可 联系 ， 电话 pn-8 或 pn-9 ， email ： em@16,1,email,电子邮件,,,,,,,,, 有意 者 可 联系 ， 电话 pn-8 或 pn-9 ， 电子邮箱 ： em@16,6,1,6,[0_ 1_ 2_ 3_ 5_ 7],[10],[4_ 6_ 8_ 9_ 11_ 12],,,,,
307, 附近 有 giant eagle ， trader joe ' s 以及 target ， 步行 十 分钟 便 可 到达 ， 生活 上 也 十分 方便 。,4,giant eagle,大老鹰,trader joe,缺德舅,s,s,target,塔吉特,,, 附近 有 大老鹰 ， 缺德舅 以及 塔吉特 ， 步行 十 分钟 便 可 到达 ， 生活 上 也 十分 方便 。,14,6,5,[0_ 1_ 9_ 12_ 13_ 14_ 15_ 16_ 17_ 19_ 20_ 21_ 22_ 23],[2_ 3_ 5_ 6_ 8_ 10],[4_ 7_ 11_ 18_ 24],,,,,
308, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区.,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
309, 简单 介绍 一下 oak hill apt ！,1,oak hill apt,橡树山公寓,,,,,,,,, 简单 介绍 一下 橡树山公寓 ！,3,3,1,[0_ 1_ 2],[3_ 4_ 5],[6],,,,,
310, apt 隶属 franklin west 旗下 ， 物业 管理 良好 ， 有 任何 问题 能 快速 免费 解决 。,2,apt,公寓,franklin west,西富兰克林,,,,,,, 公寓 隶属西富兰克林 旗下 ， 物业 管理 良好 ， 有 任何 问题 能 快速 免费 解决 。,12,3,3,[1_ 4_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 14_ 15_ 16],[0_ 2_ 3],[5_ 9_ 17],,,,,
311, 附近 超市 有 whole foods ， target ， giant eagle ， trader joe ， 都 是 走路 十 分钟 左右 。,4,whole foods,全食,target,塔吉特,giant eagle,大老鹰,trader joe,缺德舅,,, 附近 超市 有 全食 ， 塔吉特 ， 大老鹰 ， 缺德舅 ， 都 是 走路 十 分钟 左右 。,9,7,5,[0_ 1_ 2_ 14_ 15_ 16_ 17_ 18_ 19],[3_ 4_ 6_ 8_ 9_ 11_ 12],[5_ 7_ 10_ 13_ 20],,,,,
312, 还有 很多 知名 餐厅 ， 例如 noodle head ， spoon 等等 ， 吃喝 不 愁 。,2,noodle head,面头,spoon,勺子,,,,,,, 还有 很多 知名 餐厅 ， 例如 面头 ， 勺子 等等 ， 吃喝 不 愁 。,9,3,4,[0_ 1_ 2_ 3_ 5_ 10_ 12_ 13_ 14],[6_ 7_ 9],[4_ 8_ 11_ 15],,,,,
313, manager 非常 好 说话 ；,1,manager,物管,,,,,,,,, 物管 非常 好 说话 ；,3,1,1,[1_ 2_ 3],[0],[4],,,,,
314, 现在 房间 还 是 available,1,available,有效,,,,,,,,, 现在 房间 还 是有效,4,1,0,[0_ 1_ 2_ 3],[4],[],,,,,
315, 欢迎 查询 ： email : em@17,1,email,电子邮件,,,,,,,,, 欢迎 查询 ： 电子邮箱 : em@17,2,1,3,[0_ 1],[3],[2_ 4_ 5],,,,,
316, 有 pet 可以 商量,1,pet,宠物,,,,,,,,, 有 宠物可以 商量,3,1,0,[0_ 2_ 3],[1],[],,,,,
317, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
318, 大家 一起 share 厨房 。,1,share,共享,,,,,,,,, 大家 一起 共享 厨房 。,3,1,1,[0_ 1_ 3],[2],[4],,,,,
319, 我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,1,young professional,年轻教授,,,,,,,,, 我 是 刚 毕业 没 多久 的 年轻教授， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,16,2,3,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 10_ 11_ 12_ 14_ 15_ 16_ 17_ 18_ 19],[7_ 8],[9_ 13_ 20],,,,,
320, 房间 full size 床 非常 舒适 。,1,full size,全尺寸大小,,,,,,,,, 房间 全尺寸大小床 非常 舒适 。,4,2,1,[0_ 3_ 4_ 5],[1_ 2],[6],,,,,
321, 租户 仅限 gg mm 不 可以,1,gg mm,哥哥妹妹,,,,,,,,," ""租户 仅限 哥哥",4,2,0,[0_ 1_ 4_ 5],[2_ 3],[],,,,,
322, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
323, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
324, 如果 感 兴趣 ， 请 通过 email 联系 em@11,1,email,电子邮件,,,,,,,,, 如果 感 兴趣 ， 请 通过 电子邮件 联系 em@11,6,1,2,[0_ 1_ 2_ 4_ 5_ 7],[6],[3_ 8],,,,,
325, 房型 ： 非常 新 的 house,1,house,住宅,,,,,,,,, 房型 ： 非常 新 的 独栋住宅,4,1,1,[0_ 2_ 3_ 4],[5],[1],,,,,
326, 有 pet 可以 商量,1,pet,宠物,,,,,,,,, 有 宠物可以 商量,3,1,0,[0_ 2_ 3],[1],[],,,,,
327, 从 「 现在 」 开始 租 ， 直接 和 manager 签 合同 ！,1,manager,经理,,,,,,,,, 从 「 现在 」 开始 租 ， 直接 和经理 签 合同 ！,8,1,4,[0_ 2_ 4_ 5_ 7_ 8_ 10_ 11],[9],[1_ 3_ 6_ 12],,,,,
328, 地处 greenfield ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,1,greenfield,格林菲尔德,,,,,,,,, 地处 格林菲尔德 ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,8,1,3,[0_ 3_ 4_ 5_ 7_ 8_ 10_ 11],[1],[2_ 6_ 9],,,,,
329, 有意 者 可 联系 ， 电话 pn-8 或 pn-9 ， email ： em@16,1,email,电子邮件,,,,,,,,, 有意 者 可 联系 ， 电话 pn-8 或 pn-9 ， 电子邮件 ： em@16,6,1,6,[0_ 1_ 2_ 3_ 5_ 7],[10],[4_ 6_ 8_ 9_ 11_ 12],,,,,
330, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
331, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
332, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
333, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
334, up up up 保持 关注 哦,1,up up up,顶顶顶,,,,,,,,, 顶顶顶保持 关注 哦,3,3,0,[3_ 4_ 5],[0_ 1_ 2],[],,,,,
335, 房型 ： house,1,house,住宅,,,,,,,,, 房型 ： 独栋住宅,1,1,1,[0],[2],[1],,,,,
336, 有 pet 可以 商量,1,pet,宠物,,,,,,,,, 有宠物可以 商量,3,1,0,[0_ 2_ 3],[1],[],,,,,
337, 房东 也 很 nice 。,1,nice,好,,,,,,,,, 房东 也 很 好。,3,1,1,[0_ 1_ 2],[3],[4],,,,,
338, 房子 共 三 层 ， 出租 的 是 二 楼 的 bedroom ， 二 楼 有 独立 厨房 和 卫生间 。,1,bedroom,卧室,,,,,,,,, 房子 共 三 层 ， 出租 的 是 二 楼 的 卧室 ， 二 楼 有 独立 厨房 和 卫生间 。,17,1,3,[0_ 1_ 2_ 3_ 5_ 6_ 7_ 8_ 9_ 10_ 13_ 14_ 15_ 16_ 17_ 18_ 19],[11],[4_ 12_ 20],,,,,
339, 五 分钟 步行 到 54，71ac 车站 ， 周边 有 giant eagle ， cvs ， dollar general ， whole foods 等 超市 ， 生活 条件 便利 。,4,giant eagle,大老鹰,cvs,超市名,dollar general,达乐公司,whole foods,全食,,, 五 分钟 步行 到 54，71ac 车站 ， 周边 有 大老鹰 ， cvs(超市名) ， dollar general ， whole foods 等 超市 ， 生活 条件 便利 。,12,7,7,[0_ 1_ 2_ 3_ 5_ 7_ 8_ 19_ 20_ 22_ 23_ 24],[9_ 10_ 12_ 14_ 15_ 17_ 18],[4_ 6_ 11_ 13_ 16_ 21_ 25],,,,,
340, 房租 是 $500 ， 包 水电 暖 网 以及 你 能 想到 的 一切 ， 房东 夫妇 人 非常 nice ， 有 什么 问题 随时 可以 给 他们 打 电话 求助 。,1,nice,好,,,,,,,,, 房租 是 $500 ， 包 水电 暖 网 以及 你 能 想到 的 一切 ， 房东 夫妇 人 非常好 ， 有 什么 问题 随时 可以 给 他们 打 电话 求助 。,26,1,5,[0_ 1_ 4_ 5_ 6_ 7_ 8_ 9_ 10_ 11_ 12_ 13_ 15_ 16_ 17_ 18_ 21_ 22_ 23_ 24_ 25_ 26_ 27_ 28_ 29_ 30],[19],[2_ 3_ 14_ 20_ 31],,,,,
341, 房子 离 frick park 仅 两 个 block ， 去 公园 里 运动 非常 方便 。,2,frick park,弗里克公园,block,街区,,,,,,, 房子 离 弗里克公园仅 两 个 街区 ， 去 公园 里 运动 非常 方便 。,11,3,2,[0_ 1_ 4_ 5_ 6_ 9_ 10_ 11_ 12_ 13_ 14],[2_ 3_ 7],[8_ 15],,,,,
342, 简单 介绍 一下 oak hill apt ！,1,oak hill apt,橡树山公寓,,,,,,,,, 简单 介绍 一下橡树山公寓！,3,3,1,[0_ 1_ 2],[3_ 4_ 5],[6],,,,,
343, 地处 greenfield ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,1,greenfield,格林菲尔德,,,,,,,,, 地处 格林菲尔德， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,8,1,3,[0_ 3_ 4_ 5_ 7_ 8_ 10_ 11],[1],[2_ 6_ 9],,,,,
344, 距离 cvs 5-10 分钟 ；,1,cvs,超市名,,,,,,,,, 距离 cvs(超市名) 5-10 分钟 ；,2,1,2,[0_ 3],[1],[2_ 4],,,,,
345, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
346, 楼层 高度 适中 ， 背 对 north craig st 。,1,north craig st,北克列戈街,,,,,,,,, 楼层 高度 适中 ， 背 对 北克列戈街 。,5,3,2,[0_ 1_ 2_ 4_ 5],[6_ 7_ 8],[3_ 9],,,,,
347, 晚上 ， 有 学校 escort 直达 门口 。,1,escort,护送车,,,,,,,,, 晚上 ， 有 学校 护送车 直达 门口 。,5,1,2,[0_ 2_ 3_ 5_ 6],[4],[1_ 7],,,,,
348, 户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,2,living room,客厅,dining room,餐厅,,,,,,, 户型 ： 一 楼 是 超大 客厅 ，餐厅及 厨房 ；,7,4,3,[0_ 2_ 3_ 4_ 5_ 11_ 12],[6_ 7_ 9_ 10],[1_ 8_ 13],,,,,
349, up 一下 up up up up,2,up,顶,up up up up,顶顶顶顶,,,,,,, 顶 一下顶顶顶顶,1,5,0,[1],[0_ 2_ 3_ 4_ 5],[],,,,,
350, up 一下 up up up,2,up,顶,up up up,顶顶顶顶,,,,,,, 顶 一下 顶顶顶顶,1,4,0,[1],[0_ 2_ 3_ 4],[],,,,,
351, 房子 位于 greenfield ave ， 紧邻 giant eagle and murry ave.,2,greenfield ave,格林菲尔德街,giant eagle and murry,大老鹰和默理,,,,,,, 房子 位于 格林菲尔德街， 紧邻 大老鹰 和默理街.,3,6,2,[0_ 1_ 5],[2_ 3_ 6_ 7_ 8_ 9],[4_ 10],,,,,
352, 地处 north oakland ， 周围 安全,1,north oakland,北,,,,,,,,, 地处 北奥克兰 ， 周围 安全,3,2,1,[0_ 4_ 5],[1_ 2],[3],,,,,
353, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
354, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
355, + 公寓 附近 环境 安全 安静 ， office 就 在 公寓 旁边 ， 有 事 可 及时 解决 。,1,office,办公室,,,,,,,,, 公寓 附近 环境 安全 安静 ， 办公室 就 在 公寓 旁边 ， 有 事 可 及时 解决 。,14,1,4,[1_ 2_ 3_ 4_ 5_ 8_ 9_ 10_ 11_ 13_ 14_ 15_ 16_ 17],[7],[0_ 6_ 12_ 18],,,,,
356, + 公寓 家具 齐全 ， 客厅 很 大 活动 区域 广 ， 有 空调 暖气 ， 出租 的 卧室 宽敞 有 阳光 ， 有 walk-in closet ， 家具 低价 打包 接手 ， 可 拎包 入住 ！,1,closet,衣橱,,,,,,,,, 公寓 家具 齐全 ， 客厅 很 大 活动 区域 广 ， 有 空调 暖气 ， 出租 的 卧室 宽敞 有 阳光 ， 有 walk-in 壁橱 ， 家具 低价 打包 接手 ， 可 拎包 入住 ！,26,1,9,[1_ 2_ 3_ 5_ 6_ 7_ 8_ 9_ 10_ 12_ 13_ 14_ 16_ 17_ 18_ 19_ 20_ 21_ 23_ 27_ 28_ 29_ 30_ 32_ 33_ 34],[25],[0_ 4_ 11_ 15_ 22_ 24_ 26_ 31_ 35],,,,,
357, 所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,1,return,送回,,,,,,,,, 所有 想 寄 想 送回 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,13,1,2,[0_ 1_ 2_ 3_ 5_ 6_ 8_ 9_ 10_ 11_ 12_ 13_ 14],[4],[7_ 15],,,,,
358, 免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,1,view,风景,,,,,,,,, 免费 送 顶楼 风景和 顶楼 的 阳光 普照 !,8,1,1,[0_ 1_ 2_ 4_ 5_ 6_ 7_ 8],[3],[9],,,,,
359, 附近 有 sichuan gourmet ， 台湾 味 ， every day noodle ， 各 种 小吃 ， 以及 中 超 panda ， giant eagle 。,4,sichuan gourmet,府河人家,every day noodle,天天 见面 ,panda,熊猫,giant eagle,大老鹰,,, 附近 有 府河人家 ， 台湾 味 ，天天 见面 ， 各 种 小吃 ， 以及 中 超 熊猫， 大老鹰 。,10,8,6,[0_ 1_ 5_ 6_ 12_ 13_ 14_ 16_ 17_ 18],[2_ 3_ 8_ 9_ 10_ 19_ 21_ 22],[4_ 7_ 11_ 15_ 20_ 23],,,,,
360, 步行 五 分钟 有 whole food 。,1,whole food,全食,,,,,,,,, 步行 五 分钟 有 全食。,4,2,1,[0_ 1_ 2_ 3],[4_ 5],[6],,,,,
361, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
362, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交,downtown,市区,,,,,,, 门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,,
363, 环境 ： 住宅 街区 ， free parking 。,1,free parking,免费停车,,,,,,,,, 环境 ： 住宅 街区 ， 免费停车 。,3,2,3,[0_ 2_ 3],[5_ 6],[1_ 4_ 7],,,,,
364, 房型 ： house 非常 新 ， 装 修好,1,house,住宅,,,,,,,,, 房型 ： 独栋住宅 非常 新 ， 装 修好,5,1,2,[0_ 3_ 4_ 6_ 7],[2],[1_ 5],,,,,
365, 如 有 需要 可 免费 提供 bedding set ， 餐具 厨具,1,bedding set,床上用品,,,,,,,,, 如 有 需要 可 免费 提供 床上用品 ， 餐具 厨具,8,2,1,[0_ 1_ 2_ 3_ 4_ 5_ 9_ 10],[6_ 7],[8],,,,,
