sentence id,sentence,chinese word index,punct index,source
1726,这样 ， 我们 可以 根据 各位 同学 的 需要 看看 哪个 房子 最 适合 您 。,[0_2_3_4_5_6_7_8_9_10_11_12_13_14],[1_15],CMU
1728,日常 家具 齐全 。,[0_1_2],[3],CMU
1729,遇到 真诚 投缘 的 妹子 可以 考虑 送 家具 ， 拎包 入住 。,[0_1_2_3_4_5_6_7_8_10_11],[9_12],CMU
1731,十分 安全 。,[0_1],[2],CMU
1735,邮件 发 不过 去 。,[0_1_2_3],[4],CMU
1739,松鼠 山 治安 很 好 ， 所以 不 需要 担心 晚上 步行 回家 。,[0_1_2_3_4_6_7_8_9_10_11_12],[5_13],CMU
1742,两 卧室 ， 一 厅 ， 一 卫 ， 一 厨房 ， 房间 阳光 明媚 ， 干净 整洁 ， 家具 齐全 。,[0_1_3_4_6_7_9_10_12_13_14_16_17_19_20],[2_5_8_11_15_18_21],CMU
1743,时间 可 商量 。,[0_1_2],[3],CMU
1745,自己 顶 一下 ！,[0_1_2],[3],CMU
1746,租金 ： $600 ， 有 诚意 者 价格 可 商量 。,[0_4_5_6_7_8_9],[1_2_3_10],CMU
1747,如 有 需要 拎包 入住 。,[0_1_2_3_4],[5],CMU
1748,我 已经 问 过 他 ， 他 同意 的 。,[0_1_2_3_4_6_7_8],[5_9],CMU
1749,非常 便宜 划算 。,[0_1_2],[3],CMU
1750,更多 图片 请 加 peterzhangstanford.,[0_1_2_3],[4],CMU
1751,能 吃 能 玩 。,[0_1_2_3],[4],CMU
1752,本人 女 。,[0_1],[2],CMU
1753,室 友好 相处 无 不良 嗜好 。,[0_1_2_3_4_5],[6],CMU
1756,楼主 最近 收到 两 张 支票 ~ .,[0_1_2_3_4_5],[6_7],CMU
1757,有 一 床 一 桌 ， 拎包 入住 。,[0_1_2_3_4_6_7],[5_8],CMU
1758,公寓 为 两 个 卧室 一 个 客厅 ， 一 个 餐厅 一 个 厨房 。,[0_1_2_3_4_5_6_7_9_10_11_12_13_14],[8_15],CMU
1759,洗衣机 和 厨房 设备 都 是 齐全 的 。,[0_1_2_3_4_5_6_7],[8],CMU
1760,卧室 里面 的 家具 都 是 齐全 的 （ 床 ， 书桌 ， 椅子 ） 。,[0_1_2_3_4_5_6_7_9_11_13],[8_10_12_14_15],CMU
1762,每 月 末 交 下 一 个 月 的 房租 。,[0_1_2_3_4_5_6_7_8_9],[10],CMU
1763,房间 在 一 楼 （ 但是 高于 地面 一些 ， 属于 1.,[0_1_2_3_5_6_7_8_10],[4_9_11],CMU
1764,安全 ： 这个 区 在 匹兹堡 是 治安 很 好 的 区 。,[0_2_3_4_5_6_7_8_9_10_11],[1_12],CMU
1765,） ， 还有 小孩 的 妈妈 有时 在 有时 不在 。,[2_3_4_5_6_7_8_9],[0_1_10],CMU
1766,都 很 好 相处 ！,[0_1_2_3],[4],CMU
1767,房间 是 下面 网址 照片 中 的 最后 两 张 ， 当然 现在 是 非常 整洁 的 。,[0_1_2_3_4_5_6_7_8_9_11_12_13_14_15_16],[10_17],CMU
1768,好 房 请 支持 ！,[0_1_2_3],[4],CMU
1769,感兴趣 的 可以 联系 我 ， 邮箱 : lychee.,[0_1_2_3_4_6],[5_7_8],CMU
1770,另外 有 个 卧室 也 是 靠近 学校 的 beeler/wilkins ， 走路 到 学校 也 非常 近 。,[0_1_2_3_4_5_6_7_8_11_12_13_14_15_16],[9_10_17],CMU
1771,走路 到 学校 非常 近 ， 小区 安静 安全 。,[0_1_2_3_4_6_7_8],[5_9],CMU
1773,阳光 充足 。,[0_1],[2],CMU
1774,安静 干净 。,[0_1],[2],CMU
1776,公寓 介绍 ： 今年 暑期 整个 公寓 的 内部 公共 区域 整体 重新 装修 过 ， 干净 整洁 。,[0_1_3_4_5_6_7_8_9_10_11_12_13_14_16_17],[2_15_18],CMU
1777,客厅 — 很少 用 ， 有 大 窗户 ；,[0_2_3_5_6_7],[1_4_8],CMU
1778,由于 搬家 较为 着急 ， 如果 二月 或 三月 能 入住 的 房客 ，,[0_1_2_3_5_6_7_8_9_10_11_12],[4_13],CMU
1781,目前 基本 家具 厨具 都 齐全 。,[0_1_2_3_4_5],[6],CMU
1783,如果 租 满 七 个 月 ， 房租 好 商量 。,[0_1_2_3_4_5_7_8_9],[6_10],CMU
1784,已 装 墙 体式 空调 ， 不用 担心 密封 导致 的 虫子 问题 ；,[0_1_2_3_4_6_7_8_9_10_11_12],[5_13],CMU
1785,欢迎 随时 看 房 ！,[0_1_2_3],[4],CMU
1786,可供 一 或 二 人 居住 。,[0_1_2_3_4_5],[6],CMU
1787,我 租 到 的 价格 是 $895一 个 月 ；,[0_1_2_3_4_5_7_8],[6_9],CMU
1788,长 租 短 租 皆 可 。,[0_1_2_3_4_5],[6],CMU
1789,房间 宽敞 ， 周围 非常 安静 。,[0_1_3_4_5],[2_6],CMU
1790,匹 村 冬天 漫长 ， 家 离 学校 近 省却 很多 不便 。,[0_1_2_3_5_6_7_8_9_10_11],[4_12],CMU
1791,独立 客厅 ， 厨房 卫生间 无需 经过 客厅 可达 ， 因此 和 房间 没有 什么 区别 。,[0_1_3_4_5_6_7_8_10_11_12_13_14_15],[2_9_16],CMU
1793,客厅 的 房租 另外 商量 ， 基本 可以 保证 有 满意 的 价格 。,[0_1_2_3_4_6_7_8_9_10_11_12],[5_13],CMU
1794,超大 的 衣帽间 ， 阳台 。,[0_1_2_4],[3_5],CMU
1795,床 ， 桌子 等 基本 家具 均有 。,[0_2_3_4_5_6],[1_7],CMU
1796,都 非常 友好 、 安静 、 勤奋 。,[0_1_2_4_6],[3_5_7],CMU
1797,可 协商 。,[0_1],[2],CMU
1798,免 一 个 月 房租 ！,[0_1_2_3_4],[5],CMU
1799,户型 : 一 室 一 厅 ， 客厅 面积 很 大 ， 采光 很 好 ， 也 很 通风 。,[0_2_3_4_5_7_8_9_10_12_13_14_16_17_18],[1_6_11_15_19],CMU
1800,联系 方式 呢 ？,[0_1_2],[3],CMU
1801,治安 非常 好 ， 多数 是 有 孩子 的 家庭 。,[0_1_2_4_5_6_7_8_9],[3_10],CMU
1802,房间 使用 中央 空调 。,[0_1_2_3],[4],CMU
1803,客厅 采光 很 好 。,[0_1_2_3],[4],CMU
1804,房租 为 $720 / 月 （ 可 面议 ） 。,[0_1_4_6_7],[2_3_5_8_9],CMU
1805,房子 户型 房子 相当于 一 个 一 居室 ， 客厅 和 卧室 都 有 很大 空间 ， 有 独立 的 厨房 ， 卫生间 ， 不用 跟 任何 人 共用 。,[0_1_2_3_4_5_6_7_9_10_11_12_13_14_15_17_18_19_20_22_24_25_26_27_28],[8_16_21_23_29],CMU
1806,而且 现有 家具 ， 只 需要 拎包 入住 。,[0_1_2_4_5_6_7],[3_8],CMU
1809,房型 ： 一 室 一 厅 一 卫 一 厨房 ， 地毯 。,[0_2_3_4_5_6_7_8_9_11],[1_10_12],CMU
1810,卫生间 新 而且 干净 ， 适合 略有 洁癖 的 人 。,[0_1_2_3_5_6_7_8_9],[4_10],CMU
1811,总得 来说 就是 干净 齐全 。,[0_1_2_3_4],[5],CMU
1812,不过 客厅 有 几 块 大 玻璃 采光 非常 不错 。,[0_1_2_3_4_5_6_7_8_9],[10],CMU
1813,优惠 ： 我 对 生活 品质 有 一定 的 追求 ， 为了 让 家 不 是 空荡荡 的 ， 买 了 好些 东西 。,[0_2_3_4_5_6_7_8_9_11_12_13_14_15_16_17_19_20_21_22],[1_10_18_23],CMU
1814,等等 等等 。,[0_1],[2],CMU
1816,卧室 大 ， 采光 好 ；,[0_1_3_4],[2_5],CMU
1817,房子 还 可以 租 吗 ？,[0_1_2_3_4],[5],CMU
1818,限 女生 。,[0_1],[2],CMU
1819,交通 非常 便利 。,[0_1_2],[3],CMU
1820,另外 现有 家具 和 厨具 都 可 低价 出售 ， 直接 拎包 入住 ！,[0_1_2_3_4_5_6_7_8_10_11_12],[9_13],CMU
1821,感 兴趣 的 同学 可以 加 我 微 信 hw_sunsun 。,[0_1_2_3_4_5_6_7_8],[9_10],CMU
1822,8srng/edit 欢迎 骚扰 ！,[1_2],[0_3],CMU
1823,房屋 地毯 、 厨房 炉灶 等 保持 得很 干净 。,[0_1_3_4_5_6_7_8],[2_9],CMU
1825,house/room 内外 环境 ： 1.,[1_2],[0_3_4],CMU
1826,独立 卫生间 ， 独立 厨房 和 客厅 。,[0_1_3_4_5_6],[2_7],CMU
1827,已 租 自己 顶 一下 ！,[0_1_2_3_4],[5],CMU
1828,原来 是 这样 ！,[0_1_2],[3],CMU
1829,木质 地板 不用 担心 过敏 也好 清扫 。,[0_1_2_3_4_5_6],[7],CMU
1830,卧室 是 春季 的 妹子 ， 性格 开朗 易 相处 ， 欢迎 咨询,[0_1_2_3_4_6_7_8_9_11_12],[5_10],CMU
1831,走过 路过 不要 错过 啊,[0_1_2_3_4],[],CMU
1832,新 装修 ， 木 地板 ， 房间 通风 采光 极 好 。,[0_1_3_4_6_7_8_9_10],[2_5_11],CMU
1833,可 送 家具 生活 用品 ， 拎包 入住 。,[0_1_2_3_4_6_7],[5_8],CMU
1834,街角 就 有 日用品 商店 。,[0_1_2_3_4],[5],CMU
1835,要求 ： 学生 或者 访问 学者 ， 女生 优先 !,[0_2_3_4_5_7_8],[1_6_9],CMU
1836,欢迎 随时 看 房 联系 方式 微 信 jip-2016 [,[0_1_2_3_4_5_6_7],[8_9],CMU
1837,一 层 是 客厅 ， 餐厅 和 厨房 。,[0_1_2_3_5_6_7],[4_8],CMU
1838,二 楼 三 楼 各 有 两 个 房间 和 一 个 卫生间 。,[0_1_2_3_4_5_6_7_8_9_10_11_12],[13],CMU
1839,家具 ， 空调 ， 微波炉 齐全 ， 拎包 入住 。,[0_2_4_5_7_8],[1_3_6_9],CMU
1841,平日 上班 ， 如果 没事 喜欢 跑步 ， 户外 ， 或者 在家 放松 。,[0_1_3_4_5_6_8_10_11_12],[2_7_9_13],CMU
1844,所有 家具 也 一并 出售 ， 价格 便宜 。,[0_1_2_3_4_6_7],[5_8],CMU
1845,大 书桌 、 床 、 大 衣柜 、 椅子 、 微波炉 、 烤箱 等 。,[0_1_3_5_6_8_10_12_13],[2_4_7_9_11_14],CMU
1846,屋内 有 空调 暖气 ， 公共 家具 齐全 。,[0_1_2_3_5_6_7],[4_8],CMU
1847,主要 要求 是 爱 干净 和 安静 。,[0_1_2_3_4_5_6],[7],CMU
1849,你 的 房子 还 出租 吗 ？,[0_1_2_3_4_5],[6],CMU
1850,* 干净 整洁 好 房 出租 ！,[1_2_3_4_5],[0_6],CMU
1851,卧室 租金 650/month .,[0_1],[2_3],CMU
1852,家具 网络 齐全 。,[0_1_2],[3],CMU
1853,真正 是 “ 拎包 入住 ” 。,[0_1_3_4],[2_5_6],CMU
1854,都 非常 安静 、 爱 整洁 。,[0_1_2_4_5],[3_6],CMU
1855,房子 全部 是 非常 好 的 实 木 地板 。,[0_1_2_3_4_5_6_7_8],[9],CMU
1856,非常 容易 保持 干净 。,[0_1_2_3],[4],CMU
1857,一共 三 个 卧室 。,[0_1_2_3],[4],CMU
1858,目前 有 一 个 卧室 招租 。,[0_1_2_3_4_5],[6],CMU
1859,也 可以 这里 留言 。,[0_1_2_3],[4],CMU
1860,谢谢 留意 。,[0_1],[2],CMU
1861,因 毕业 工作 离开 匹兹堡,[0_1_2_3_4],[],CMU
1862,在 此 无须 赘述 ~,[0_1_2_3],[4],CMU
1863,周日 就 回国 ， 着急 打包 收拾 ， 又 没 时间 处理 家具 什么 的 ， 所以 低价 出租 。,[0_1_2_4_5_6_8_9_10_11_12_13_14_16_17_18],[3_7_15_19],CMU
1864,因为 这个 学期 要 毕业 了,[0_1_2_3_4_5],[],CMU
1865,下面 是 这个 公寓 的 链接,[0_1_2_3_4_5],[],CMU
1866,客厅 和 卧室 均 有 空调 ， 房间 通风 良好 ， 夏天 舒适 方便 ， 冬天 暖气 非常 充足 且 可以 调节 。,[0_1_2_3_4_5_7_8_9_11_12_13_15_16_17_18_19_20_21],[6_10_14_22],CMU
1867,公寓 处在 三 楼 最 内侧 ， 远离 马路 ， 楼 内 多 为 学生 ， 也 有 一些 老人 ， 非常 安静 。,[0_1_2_3_4_5_7_8_10_11_12_13_14_16_17_18_19_21_22],[6_9_15_20_23],CMU
1868,联系 方式 ： 加 微 信 zyj_1_2_3 ， 请 注明 租房 。,[0_1_3_4_5_8_9_10],[2_6_7_11],CMU
1869,家电 齐全 ， 拎包 入住 。,[0_1_3_4],[2_5],CMU
1870,抵触 白人 社区 ， 邻居 很多 爷爷 奶奶 ， 周边 环境 十分 安静 。,[0_1_2_4_5_6_7_9_10_11_12],[3_8_13],CMU
1871,联系 方式 ： 微信a-raven-desk,[0_1],[2_3],CMU
1872,冬天 当 别人 还在 冷风 中等 公交 的 时候 你 已经 走到 家 了 ！,[0_1_2_3_4_5_6_7_8_9_10_11_12_13],[14],CMU
1873,， 所以 客厅 实际 可 使用 面积 巨大 。,[1_2_3_4_5_6_7],[0_8],CMU
1874,门口 有 街 趴 车位 。,[0_1_2_3_4],[5],CMU
1876,采光 非常 好 ， 带有 空调 ， 冬天 暖气 也 非常 充足 ， 一点 都 不 会 觉得 冷 。,[0_1_2_4_5_7_8_9_10_11_13_14_15_16_17_18],[3_6_12_19],CMU
1877,公寓 卫生 条件 很 好 ， 也 很 安全 。,[0_1_2_3_4_6_7_8],[5_9],CMU
1878,交通 很 便利 。,[0_1_2],[3],CMU
1879,购物 轻松 。,[0_1],[2],CMU
1880,日本 超市 步行 十五 分钟 就 到 了 。,[0_1_2_3_4_5_6_7],[8],CMU
1881,因为 公寓 在 两 天 街道 的 十字 路口 ， 所以 无论 去 哪个 地方 ， 都 超级 方便 。,[0_1_2_3_4_5_6_7_8_10_11_12_13_14_16_17_18],[9_15_19],CMU
1882,所有 家具 齐全 ： 厨具 ， 床 ， 桌子 ， 椅子 ， 日常 工具 。,[0_1_2_4_6_8_10_12_13],[3_5_7_9_11_14],CMU
1883,完全 可以 拎包 入住 。,[0_1_2_3],[4],CMU
1884,客厅 为 一 匹 大 研究生 男生 。,[0_1_2_3_4_5_6],[7],CMU
1885,家具 齐 的 大 卧室 。,[0_1_2_3_4],[5],CMU
1886,我 承担 每 月 五十 。,[0_1_2_3_4],[5],CMU
1887,租 四百 加 煤气 水电 。,[0_1_2_3_4],[5],CMU
1888,客厅 有 沙发 ， 餐桌 。,[0_1_2_4],[3_5],CMU
1889,又 快 又 稳 。,[0_1_2_3],[4],CMU
1890,步行 距离 去 购物 和 各 种 中国 饭店 。,[0_1_2_3_4_5_6_7_8],[9],CMU
1891,去 购物 特 方便 。,[0_1_2_3],[4],CMU
1892,夏天 有 空调 。,[0_1_2],[3],CMU
1893,中央 空调 噢 。,[0_1_2],[3],CMU
1894,房子 非常 安静 和 安全,[0_1_2_3_4],[],CMU
1895,房子 整体 精 装修 ， 有 中央 空调 ， 厨具 齐全,[0_1_2_3_5_6_7_9_10],[4_8],CMU
1896,非常 适合 两 个 人 或 一 个 人 居住 ！,[0_1_2_3_4_5_6_7_8_9],[10],CMU
1897,而且 是 和 公司 签 合约 ， 权益 有 保障 。,[0_1_2_3_4_5_7_8_9],[6_10],CMU
1898,机会 不 要 错过 ！,[0_1_2_3],[4],CMU
1899,小区 免费 停车 。,[0_1_2],[3],CMU
1900,附近 拥有 各 种 餐厅 ， 商店 ， 生活 便利 。,[0_1_2_3_4_6_8_9],[5_7_10],CMU
1903,主 卧室 有 独立 卫生间 ， 另 两 个 卧室 共用 一 个 卫生间 。,[0_1_2_3_4_6_7_8_9_10_11_12_13],[5_14],CMU
1904,公寓 有 空调 ， 厨房 家电 设备 齐全 ， 同时 房屋 管理 公司 的 维修 处理 也 非常 及时 。,[0_1_2_4_5_6_7_9_10_11_12_13_14_15_16_17_18],[3_8_19],CMU
1905,步行 一 分钟 也 有 多 家 中 餐馆 。,[0_1_2_3_4_5_6_7_8],[9],CMU
1906,想 实地 、 远程 看 一 看 也 没有 问题 。,[0_1_3_4_5_6_7_8_9],[2_10],CMU
1907,房间 明亮 宽敞 ， 储藏 空间 很大 。,[0_1_2_4_5_6],[3_7],CMU
1908,希望 在 学校 附近 ， 最好 学生 比较 多 治安 好的 地方 。,[0_1_2_3_5_6_7_8_9_10_11],[4_12],CMU
1909,最好 有 家具 。,[0_1_2],[3],CMU
1910,客厅 的 面积 非常 大 ， 比 卧室 还 大 ！,[0_1_2_3_4_6_7_8_9],[5_10],CMU
1911,而且 是 一 个 很 独立 的 空间 ， 可以 看 下边 的 户型 图 ， 其实 就是 一 个 没有 门 的 屋子 ， 而且 还 带 一 个 阳台 ！,[0_1_2_3_4_5_6_7_9_10_11_12_13_14_16_17_18_19_20_21_22_23_25_26_27_28_29_30],[8_15_24_31],CMU
1912,站在 门口 拍 这 间 屋子 ， 就是 这么 大 ！,[0_1_2_3_4_5_7_8_9],[6_10],CMU
1913,两 个 厨房 （ 厨房 有 明 火炉 ~ ） ， 一 个 连 着 客厅 一 个 是 公用 的 。,[0_1_2_4_5_6_7_11_12_13_14_15_16_17_18_19_20],[3_8_9_10_21],CMU
1914,三 个 卫生间 ， 一 个 是 公用 的 。,[0_1_2_4_5_6_7_8],[3_9],CMU
1915,门口 就 有 公交 车站 ， 去 学校 很 方便 。,[0_1_2_3_4_6_7_8_9],[5_10],CMU
1916,厨房 有 一 个 ， 厕所 / 浴室 有 两 个 。,[0_1_2_3_5_7_8_9_10],[4_6_11],CMU
1917,* 整洁 好 房 出租 ！,[1_2_3_4],[0_5],CMU
1918,客厅 ， 餐厅 均 不 住 人 ， 带 车库 。,[0_2_3_4_5_6_8_9],[1_7_10],CMU
1919,有 公用 的 自行车 。,[0_1_2_3],[4],CMU
1920,厨房 用品 齐全 。,[0_1_2],[3],CMU
1921,入住 时间 可以 商量 。,[0_1_2_3],[4],CMU
1923,我们 性格 都 非常 善良 友好 ， 生活 习惯 规律 。,[0_1_2_3_4_5_7_8_9],[6_10],CMU
1924,提供 全 套 家具 （ 床 、 书桌 、 椅子 、 微波炉 等 必备 用品 ） 。,[0_1_2_3_5_7_9_11_12_13_14],[4_6_8_10_15_16],CMU
1925,平面图 如下 ：,[0_1],[2],CMU
1926,家具 ： 要 走 了 家具 全部 打包 便宜 卖 ， 价格 好 商量 。,[0_2_3_4_5_6_7_8_9_11_12_13],[1_10_14],CMU
1927,公寓 带有 中央 空调 ， 冬夏 均 可 调节 室温 ， 生活 舒适 。,[0_1_2_3_5_6_7_8_9_11_12],[4_10_13],CMU
1928,详情 见 下面 链接 。,[0_1_2_3],[4],CMU
1929,都 很 安静 的 。,[0_1_2_3],[4],CMU
1930,房间 里 书桌 ， 椅子 ， 床 ， 灯 都 有 。,[0_1_2_4_6_8_9_10],[3_5_7_11],CMU
1932,房子 很 干净 整洁 。,[0_1_2_3],[4],CMU
1933,卧室 比较 小 ， 但是 很 舒服 ， 家具 全 。,[0_1_2_4_5_6_8_9],[3_7_10],CMU
1934,现在 就 可以 入住 。,[0_1_2_3],[4],CMU
1935,总的来说 ， 房子 的 地段 应该 是 匹 村 最 适合 学生 居住 的 ， 而且 价格 非常 便宜 ， 同等 条件 的 房子 应该 找 不 到 比 这个 更 便宜 的 了 。,[0_2_3_4_5_6_7_8_9_10_11_12_13_15_16_17_18_20_21_22_23_24_25_26_27_28_29_30_31_32_33],[1_14_19_34],CMU
1940,客厅 超大 ， 阳光 充足 ， 连接 封闭式 阳台 ， 空间 独立 不 会 受到 打扰 。,[0_1_3_4_6_7_8_10_11_12_13_14_15],[2_5_9_16],CMU
1941,生活 便利 ， 走路 范围 内 很多 好 餐馆 超市 。,[0_1_3_4_5_6_7_8_9],[2_10],CMU
1942,二 楼 总共 三 间 房 ， 三 楼 两 间 房 ， 出租 的 是 五 间 房 里面 最 大 的 一 间 。,[0_1_2_3_4_5_7_8_9_10_11_13_14_15_16_17_18_19_20_21_22_23_24],[6_12_25],CMU
1943,卧室 非常 大 ， 采光 好 ， 带 家具 ， 拎包 入住 。,[0_1_2_4_5_7_8_10_11],[3_6_9_12],CMU
1944,特别 适合 在 附近 的 学生 或者 访问 学者 。,[0_1_2_3_4_5_6_7_8],[9],CMU
1945,谢谢 询问 ， 已 租 ！,[0_1_3_4],[2_5],CMU
1946,男女 生 都可 。,[0_1_2],[3],CMU
1947,干净 木 地板 。,[0_1_2],[3],CMU
1948,窗帘 网络 都 齐备 。,[0_1_2_3],[4],CMU
1949,一 个 卧室 520/month .,[0_1_2],[3_4],CMU
1950,随时 都 可以 安排 看 房 。,[0_1_2_3_4_5],[6],CMU
1952,过期 顶 ！,[0_1],[2],CMU
1955,有 兴趣 请 联系 我 ， 谢谢 仍然 有效 房东 降价 ！,[0_1_2_3_4_6_7_8_9_10],[5_11],CMU
1956,继续 招租 ！,[0_1],[2],CMU
1957,价格 不 是 太 在意 .,[0_1_2_3_4],[5],CMU
1958,客厅 相对 独立 ， 已 做好 隔断 。,[0_1_2_4_5_6],[3_7],CMU
1959,~~~lz 你 微 信号 是 多少 ？,[1_2_3_4_5],[0_6],CMU
1960,找 八月 底 到 十月 底 的 房子 。,[0_1_2_3_4_5_6_7],[8],CMU
1961,希望 房子 干净 ， 可以 直接 入住 。,[0_1_2_4_5_6],[3_7],CMU
1962,周围 环境 优美 安静 ， 房间 宽敞 舒适 。,[0_1_2_3_5_6_7],[4_8],CMU
1963,现在 出租 另外 两 间 。,[0_1_2_3_4],[5],CMU
1964,有 兴趣 请 联系 ymin.,[0_1_2_3],[4],CMU
1966,黄金 地带 。,[0_1],[2],CMU
1967,妈妈 再 也 不用 担心 我 买 菜 啦 ！,[0_1_2_3_4_5_6_7_8],[9],CMU
1968,毗邻 医院 ， 门口 随时 有 警察 叔叔 巡逻 ， 安全 有 保障 。,[0_1_3_4_5_6_7_8_10_11_12],[2_9_13],CMU
1969,简单 介绍 一下 我 自己 ， 今年 刚 从 匹 大 毕业 ， 目前 在 工作 。,[0_1_2_3_4_6_7_8_9_10_11_13_14_15],[5_12_16],CMU
1970,可以 保持 公共 区域 卫生 ， 并 可以 分担 一半 的 家务 。,[0_1_2_3_4_6_7_8_9_10_11],[5_12],CMU
1971,可以 互相 尊重 个人 隐私 。,[0_1_2_3_4],[5],CMU
1972,还有 1-2 个 卧室 招租 。,[0_2_3_4],[1_5],CMU
1973,每 月 520-580 / 间 。,[0_1_4],[2_3_5],CMU
1974,半 年 的 暂时 不 考虑 ， 多谢 。,[0_1_2_3_4_5_7],[6_8],CMU
1981,如果 有 两 个 同学 结伴 一起 租 更 好 ， 两 间 同时 租 有 优惠 。,[0_1_2_3_4_5_6_7_8_9_11_12_13_14_15_16],[10_17],CMU
1982,时间 八月 最后 一 周 到 十二月 第二 周 。,[0_1_2_3_4_5_6_7_8],[9],CMU
1983,十分 感谢 。,[0_1],[2],CMU
1984,小区 安全 。,[0_1],[2],CMU
1985,家具 网络 齐全 ， 拎包 入住 。,[0_1_2_4_5],[3_6],CMU
1987,这个 房子 的 短 租 没有 了 ， 其他 房子 可能 有 ， 但是 要 看 开始 时间 和 结束 时间 。,[0_1_2_3_4_5_6_8_9_10_11_13_14_15_16_17_18_19_20],[7_12_21],CMU
1988,欢迎 联系 长 租 。,[0_1_2_3],[4],CMU
1989,公寓 共 一 室 一 厅 带 一 个 小 书房 ， 带 全部 家具 ， 拎包 可 入住 。,[0_1_2_3_4_5_6_7_8_9_10_12_13_14_16_17_18],[11_15_19],CMU
1990,租金 每 月 共$995 包括 水 、 电 、 气 ， 网 费 不 包 。,[0_1_2_4_5_7_9_11_12_13_14],[3_6_8_10_15],CMU
1991,也 可 轮流 住 卧室 。,[0_1_2_3_4],[5],CMU
1992,九月 一日 可 入住 。,[0_1_2_3],[4],CMU
1993,大概 八月 底 开始 租 一 个 月 的 样子 ？,[0_1_2_3_4_5_6_7_8_9],[10],CMU
1997,地段 非常 好 ！,[0_1_2],[3],CMU
1998,窗帘 都 有 。,[0_1_2],[3],CMU
1999,目前 有 一 个 匹兹堡 大学 的 学生 预定 了 一 间 ， 还有 三 间 卧室 。,[0_1_2_3_4_5_6_7_8_9_10_11_13_14_15_16],[12_17],CMU
2000,匹兹堡 的 同学 会 负责 申请 水电 煤 。,[0_1_2_3_4_5_6_7],[8],CMU
2001,所以 后来 的 同学 省心 省 力 了 。,[0_1_2_3_4_5_6_7],[8],CMU
2002,马上 就 可以 入住 ！,[0_1_2_3],[4],CMU
2003,目前 还 有 两 个 卧室 可以 租 。,[0_1_2_3_4_5_6_7],[8],CMU
2012,全 套 房子 都 有 家具 、 网络 齐全 。,[0_1_2_3_4_5_7_8],[6_9],CMU
2013,一 楼 是 客厅 餐厅 和 厨房 ， 还 有 一 个 卫生间 。,[0_1_2_3_4_5_6_8_9_10_11_12],[7_13],CMU
2014,三 楼 一 个 卧室 。,[0_1_2_3_4],[5],CMU
2015,前后 院子 。,[0_1],[2],CMU
2016,房子 干净 整洁 ， 家具 齐全 。,[0_1_2_4_5],[3_6],CMU
2018,优先 租 一 年 的 同学 。,[0_1_2_3_4_5],[6],CMU
2019,目前 只有 两 间 可以 出租 。,[0_1_2_3_4_5],[6],CMU
2020,周围 治安 很 棒 .,[0_1_2_3],[4],CMU
2021,希望 您 是 单身 的 中国 留学生 、 访问 学者 ， 脾气 温和 ， 不 吸烟 ， 不 吸毒 ， 不 养 宠物 ， 公共 卫生 习惯 良好 ， 寻求 安静 和谐 的 人文 居住 环境 。,[0_1_2_3_4_5_6_8_9_11_12_14_15_17_18_20_21_22_24_25_26_27_29_30_31_32_33_34_35],[7_10_13_16_19_23_28_36],CMU
2023,房租 包括 ： 免费 宽带 无线 上网 ！,[0_1_3_4_5_6],[2_7],CMU
2024,公寓 为 1bed+1bath ；,[0_1],[2_3],CMU
2025,公寓 窗外 都 是 安静 小 马路 ， 没有 汽车 噪音 。,[0_1_2_3_4_5_6_8_9_10],[7_11],CMU
2026,你 可以 直接 联系 我 。,[0_1_2_3_4],[5],CMU
2027,时间 和 房租 好 商量 。,[0_1_2_3_4],[5],CMU
2028,欢迎 同学 整 租 。,[0_1_2_3],[4],CMU
2029,谢谢 啦 。,[0_1],[2],CMU
2031,随时 看 房 。,[0_1_2],[3],CMU
2033,房间 内 有 空调 ， 夏天 很 凉快 ， 总之 非常 舒适 。,[0_1_2_3_5_6_7_9_10_11],[4_8_12],CMU
2034,能 租 到 多久 ？,[0_1_2_3],[4],CMU
2035,室内 具体 信息 :,[0_1_2],[3],CMU
2036,一 个 宽敞 的 客厅 ， 一 间 共享 的 厨房 。,[0_1_2_3_4_6_7_8_9_10],[5_11],CMU
2037,各 个 房间 （ 卧室 、 卫生间 、 客厅 、 厨房 ） 均 有 窗户 ， 采光 通风 正常 。,[0_1_2_4_6_8_10_12_13_14_16_17_18],[3_5_7_9_11_15_19],CMU
2041,冬天 很 长 ， 暖气 要 开 一 整 个 冬季 ， 电气 全 包 可以 安心 用 ！,[0_1_2_4_5_6_7_8_9_10_12_13_14_15_16_17],[3_11_18],CMU
2044,唯一 的 要求 是 拎包 入住 。,[0_1_2_3_4_5],[6],CMU
2045,可以 接受 客厅 。,[0_1_2],[3],CMU
2047,今天 就 可以 ！,[0_1_2],[3],CMU
2048,优先 考虑 一 年 的 租约 。,[0_1_2_3_4_5],[6],CMU
2049,或者 租约 在 may/june/july 结束 的 也 可以 。,[0_1_2_4_5_6_7],[3_8],CMU
2051,地点 有 什么 要求 吗 ？,[0_1_2_3_4],[5],CMU
2052,只要 女生 。,[0_1],[2],CMU
2053,是 个 很 安全 的 社区 。,[0_1_2_3_4_5],[6],CMU
2054,对 住 的 地方 没有 特别 要求 ， 卧室 、 客厅 均 可 。,[0_1_2_3_4_5_6_8_10_11_12],[7_9_13],CMU
