Word,Probability,Frequency
蚕丝,3.5861252812867016E-6,2
艳丽,1.7930626406433508E-6,1
害羞,7.172250562573403E-6,4
走私,1.7930626406433508E-6,1
文件,8.606700675088085E-5,48
frequently,1.7930626406433508E-6,1
保湿,1.7930626406433508E-6,1
大于,1.6137563765790156E-5,9
worth,1.7930626406433508E-6,1
核算,3.5861252812867016E-6,2
branded,1.7930626406433508E-6,1
偶尔,9.323925731345424E-5,52
联通,1.7930626406433508E-6,1
增强,5.379187921930053E-6,3
发球,4.124044073479707E-5,23
酵素,1.7930626406433508E-6,1
catherine,3.5861252812867016E-6,2
钓鱼,1.0758375843860106E-5,6
popular,3.5861252812867016E-6,2
云集,1.7930626406433508E-6,1
reconstructed,1.7930626406433508E-6,1
reynolds,1.7930626406433508E-6,1
探视,1.7930626406433508E-6,1
对着,1.4344501125146806E-5,8
马,1.2551438484503456E-5,7
wrinkle,1.7930626406433508E-6,1
长老,1.7930626406433508E-6,1
驱,6.455025506316063E-5,36
海外,1.972368904707686E-5,11
长者,8.965313203216754E-6,5
驴,1.7930626406433508E-6,1
台灯,5.899176087716624E-4,329
做得,1.7930626406433508E-6,1
大人,3.0482064890936964E-5,17
驻,1.0758375843860106E-5,6
跳槽,3.5861252812867016E-6,2
驾,3.0482064890936964E-5,17
骂,3.5861252812867016E-6,2
chopper,5.379187921930053E-6,3
bindings,5.379187921930053E-6,3
individuals,7.172250562573403E-6,4
骑,1.057906957979577E-4,59
骗,1.6137563765790156E-5,9
jet,1.2551438484503456E-5,7
multipurpose,8.965313203216754E-6,5
throughput,7.172250562573403E-6,4
those,1.2551438484503456E-5,7
精美,1.0758375843860106E-5,6
代购,1.2551438484503456E-5,7
courses,7.172250562573403E-6,4
得心应手,1.7930626406433508E-6,1
使用者,1.7930626406433508E-6,1
理路,1.7930626406433508E-6,1
骨,1.7930626406433508E-6,1
telephone,8.965313203216754E-6,5
岁月,1.7930626406433508E-6,1
sync,1.7930626406433508E-6,1
jfk,4.554379107234111E-4,254
天亮,1.7930626406433508E-6,1
longer,1.0758375843860106E-5,6
parties,8.965313203216754E-6,5
去看,8.965313203216754E-6,5
副教授,3.5861252812867016E-6,2
leaving,2.330981432836356E-5,13
搞笑,1.7930626406433508E-6,1
隐形,7.172250562573403E-6,4
联邦,7.172250562573403E-6,4
复制,1.2551438484503456E-5,7
distance,3.0482064890936964E-5,17
封皮,1.7930626406433508E-6,1
人事部,7.172250562573403E-6,4
description,5.379187921930053E-6,3
归还,1.0758375843860106E-5,6
擦拭,8.965313203216754E-6,5
vigilance,1.7930626406433508E-6,1
身后,1.7930626406433508E-6,1
变现,1.7930626406433508E-6,1
street,8.068781882895079E-5,45
配色,5.379187921930053E-6,3
高,6.042621098968093E-4,337
大会,1.7930626406433508E-6,1
大伙,1.7930626406433508E-6,1
大众,7.172250562573403E-6,4
生气,1.2551438484503456E-5,7
限期,1.7930626406433508E-6,1
elizabeth,1.7930626406433508E-6,1
夫人,3.5861252812867016E-6,2
天价,1.7930626406433508E-6,1
接触,1.4344501125146806E-5,8
自律,1.7930626406433508E-6,1
fangs,1.7930626406433508E-6,1
秋季,1.1475600900117445E-4,64
健康,3.765431545351037E-5,21
肯塔基,1.7930626406433508E-6,1
交错,1.7930626406433508E-6,1
黑心,1.7930626406433508E-6,1
失业,3.5861252812867016E-6,2
jia,5.379187921930053E-6,3
骚扰,2.330981432836356E-5,13
大体,7.172250562573403E-6,4
金牛座,3.5861252812867016E-6,2
jin,3.5861252812867016E-6,2
proficiency,7.172250562573403E-6,4
jim,7.172250562573403E-6,4
connectivity,1.7930626406433508E-6,1
dressing,3.5861252812867016E-6,2
从速,6.455025506316063E-5,36
改天,3.5861252812867016E-6,2
utilized,1.7930626406433508E-6,1
借条,1.7930626406433508E-6,1
epic,3.5861252812867016E-6,2
捷达,3.5861252812867016E-6,2
种子,8.965313203216754E-6,5
西瓜,1.7930626406433508E-6,1
utilizes,1.7930626406433508E-6,1
chrysler,1.6137563765790156E-5,9
大使,3.5861252812867017E-5,20
style,2.5102876969006912E-5,14
鬼,1.7930626406433508E-6,1
踏板,8.965313203216754E-6,5
事项,7.172250562573403E-6,4
guard,5.379187921930053E-6,3
铜钱,1.7930626406433508E-6,1
油烟,1.6137563765790156E-5,9
champaign,3.5861252812867016E-6,2
烘焙,1.7930626406433508E-5,10
vehicle,2.6895939609650264E-5,15
freedom,1.6137563765790156E-5,9
cushion,1.7930626406433508E-6,1
kappa,3.5861252812867016E-6,2
scorpion,1.7930626406433508E-6,1
怪癖,1.7930626406433508E-6,1
防止,1.0758375843860106E-5,6
多元,1.7930626406433508E-6,1
发生,2.8689002250293613E-5,16
装订,1.7930626406433508E-6,1
和平,8.965313203216754E-6,5
褐色,1.7930626406433508E-6,1
waive,1.6137563765790156E-5,9
团队,6.813638034444733E-5,38
地下室,1.721340135017617E-4,96
天使,1.7930626406433508E-6,1
搁置,5.379187921930053E-6,3
参看,5.379187921930053E-6,3
作罢,7.172250562573403E-6,4
magnolia,1.7930626406433508E-6,1
georgia,3.5861252812867016E-6,2
responsibilities,1.0758375843860106E-5,6
ldap,1.7930626406433508E-6,1
马桶,2.1516751687720212E-5,12
hwang,1.7930626406433508E-6,1
消费品,1.7930626406433508E-6,1
totally,3.5861252812867016E-6,2
放大,1.0758375843860106E-5,6
夜光,3.5861252812867016E-6,2
小学生,1.7930626406433508E-6,1
外出,3.944737809415372E-5,22
resin,5.379187921930053E-6,3
体育,2.1516751687720212E-5,12
路段,3.5861252812867016E-6,2
粤菜,1.7930626406433508E-6,1
科学,4.124044073479707E-5,23
行驶,4.661962865672712E-5,26
job,1.972368904707686E-5,11
daughter,1.7930626406433508E-6,1
浓度,1.7930626406433508E-6,1
joe,1.7930626406433508E-4,100
jon,1.7930626406433508E-6,1
厘米,1.0399763315731435E-4,58
步骤,1.7930626406433508E-6,1
joy,1.972368904707686E-5,11
糟糕,3.5861252812867016E-6,2
薪水,5.379187921930053E-6,3
数十,1.7930626406433508E-6,1
adds,3.5861252812867016E-6,2
数千,1.7930626406433508E-6,1
目瞪口呆,3.5861252812867016E-6,2
泡沫,1.0758375843860106E-5,6
表面,1.4344501125146806E-5,8
discontinued,7.172250562573403E-6,4
intelligencer,1.7930626406433508E-6,1
四面,1.7930626406433508E-6,1
有求必应,3.5861252812867016E-6,2
生活,0.0011421809020898145,637
inline,1.7930626406433508E-6,1
尾灯,3.5861252812867016E-6,2
petite,1.7930626406433508E-6,1
equivalent,1.7930626406433508E-6,1
用水,7.172250562573403E-6,4
复印,2.5102876969006912E-5,14
比赛,2.8689002250293613E-5,16
齐全,0.001339417792560583,747
offer,1.3089357276696462E-4,73
东南亚,7.172250562573403E-6,4
humidity,1.7930626406433508E-6,1
引领,1.7930626406433508E-6,1
作者,1.0758375843860106E-5,6
多分,1.7930626406433508E-6,1
可爱,8.42739441102375E-5,47
newport,5.379187921930053E-6,3
交际,3.5861252812867016E-6,2
阶段,1.2551438484503456E-5,7
比起,1.2551438484503456E-5,7
transient,3.5861252812867016E-6,2
耳闻,1.7930626406433508E-6,1
受用,1.7930626406433508E-6,1
drive,0.0012425924099658421,693
外加,7.351556826637738E-5,41
amenities,1.2551438484503456E-5,7
小白,3.5861252812867016E-6,2
求职,3.944737809415372E-5,22
monoclonal,1.7930626406433508E-6,1
探讨,3.5861252812867016E-6,2
civic,8.965313203216754E-6,5
防水,7.172250562573403E-6,4
高尚,1.7930626406433508E-6,1
探访,7.172250562573403E-6,4
采用,1.0758375843860106E-5,6
civil,5.379187921930053E-6,3
thermo,1.7930626406433508E-6,1
indicate,1.7930626406433508E-6,1
customers,7.172250562573403E-6,4
由此,1.7930626406433508E-6,1
森林,1.2551438484503456E-5,7
消声,1.7930626406433508E-6,1
founder,1.7930626406433508E-6,1
words,1.7930626406433508E-6,1
rowland,1.7930626406433508E-6,1
medicine,3.5861252812867016E-6,2
entered,1.7930626406433508E-6,1
仰赖,1.7930626406433508E-6,1
applicant,1.2551438484503456E-5,7
随意,7.351556826637738E-5,41
高层,1.7930626406433508E-6,1
隶属,1.7930626406433508E-6,1
鱼,2.5102876969006912E-5,14
复古,1.6137563765790156E-5,9
scrubbing,1.7930626406433508E-6,1
spider,3.5861252812867016E-6,2
生涯,3.5861252812867016E-6,2
jul,7.172250562573403E-6,4
rooms,3.4068190172223665E-5,19
jun,3.5861252812867016E-6,2
自愿,3.5861252812867016E-6,2
检测,1.6137563765790156E-5,9
lucio,5.379187921930053E-6,3
搜索,9.682538259474095E-5,54
humorous,1.7930626406433508E-6,1
震动,1.7930626406433508E-6,1
contact,2.7613164665907605E-4,154
creatively,1.7930626406433508E-6,1
鲜,3.5861252812867016E-6,2
硅谷,3.944737809415372E-5,22
稳健,1.7930626406433508E-6,1
tires,1.972368904707686E-5,11
足球,1.6137563765790156E-5,9
flocked,1.7930626406433508E-6,1
知音,1.7930626406433508E-6,1
用法,8.965313203216754E-6,5
情操,1.7930626406433508E-6,1
外包,5.379187921930053E-6,3
消失,1.7930626406433508E-6,1
garbage,1.2551438484503456E-5,7
离开,1.8647851462690848E-4,104
哥哥,1.6137563765790156E-5,9
完蛋,1.7930626406433508E-6,1
parts,3.5861252812867016E-6,2
western,1.7930626406433508E-6,1
helps,1.7930626406433508E-6,1
浴室,3.2454433795644653E-4,181
lucid,3.5861252812867016E-6,2
party,4.679893492079146E-4,261
sparkles,1.7930626406433508E-6,1
visiting,8.965313203216754E-6,5
存货,3.5861252812867016E-6,2
呵护,1.7930626406433508E-6,1
packing,1.7930626406433508E-6,1
多加,7.172250562573403E-6,4
烧烤,7.530863090702074E-5,42
灯罩,3.5861252812867016E-6,2
decor,1.7930626406433508E-6,1
文具,2.8689002250293613E-5,16
销量,1.7930626406433508E-6,1
回音,1.7930626406433508E-6,1
hardwood,5.379187921930053E-6,3
秘密,3.5861252812867016E-6,2
骨折,1.7930626406433508E-6,1
咫尺,1.7930626406433508E-6,1
false,1.7930626406433508E-6,1
绰绰有余,5.379187921930053E-6,3
fragrance,7.172250562573403E-6,4
压缩,8.965313203216754E-6,5
蹦床,1.7930626406433508E-6,1
精致,1.2551438484503456E-5,7
developer,1.7930626406433508E-6,1
汇聚,3.5861252812867016E-6,2
熬夜,5.379187921930053E-6,3
之所以,8.965313203216754E-6,5
mechanical,1.6137563765790156E-5,9
外卖,1.6137563765790156E-5,9
高峰,1.2551438484503456E-5,7
包车,6.275719242251729E-5,35
切尔西,1.7930626406433508E-6,1
控诉,1.7930626406433508E-6,1
热火,1.7930626406433508E-6,1
orion,1.7930626406433508E-6,1
重申,1.7930626406433508E-6,1
peterson,1.7930626406433508E-6,1
整合,1.7930626406433508E-6,1
warranty,2.5102876969006912E-5,14
对称,8.965313203216754E-6,5
philips,2.5102876969006912E-5,14
繁华,1.7930626406433508E-6,1
rotator,7.172250562573403E-6,4
drink,1.7930626406433508E-6,1
慈善,1.7930626406433508E-6,1
手推车,5.379187921930053E-6,3
interiors,1.7930626406433508E-6,1
hello,1.02204570516671E-4,57
想必,1.7930626406433508E-6,1
works,5.379187921930053E-6,3
郁闷,1.7930626406433508E-6,1
文凭,1.4523807389211143E-4,81
印花,3.5861252812867016E-6,2
cycle,8.965313203216754E-6,5
world,3.944737809415372E-5,22
储备,1.0758375843860106E-5,6
decks,1.7930626406433508E-6,1
guardian,1.7930626406433508E-6,1
urgent,3.5861252812867016E-6,2
bundle,1.0758375843860106E-5,6
香菇,5.379187921930053E-6,3
含水,1.7930626406433508E-5,10
willingness,3.5861252812867016E-6,2
疑惑,1.7930626406433508E-6,1
想念,5.379187921930053E-6,3
海尔,5.7378004500587225E-5,32
电气,1.057906957979577E-4,59
hooded,1.7930626406433508E-6,1
自我,1.972368904707686E-5,11
candle,1.7930626406433508E-6,1
report,4.3033503375440424E-5,24
多半,5.379187921930053E-6,3
换钱,3.5861252812867016E-6,2
一下子,1.2551438484503456E-5,7
随手,3.5861252812867016E-6,2
嵌入,1.7930626406433508E-6,1
falls,1.7930626406433508E-6,1
split,7.172250562573403E-6,4
helix,1.7930626406433508E-6,1
publication,1.7930626406433508E-6,1
居然,2.6895939609650264E-5,15
different,7.172250562573403E-6,4
level,2.5102876969006912E-5,14
封禁,7.172250562573403E-6,4
惬意,1.7930626406433508E-6,1
大刀,1.7930626406433508E-6,1
小家子气,1.7930626406433508E-6,1
要看,3.5861252812867016E-6,2
节俭,1.7930626406433508E-6,1
kang,5.379187921930053E-6,3
泳池,8.068781882895079E-5,45
换句话说,1.7930626406433508E-6,1
收尾,1.7930626406433508E-6,1
电池,1.1834213428246115E-4,66
困难,1.7930626406433508E-5,10
教堂,1.7930626406433508E-6,1
recipe,1.7930626406433508E-6,1
响声,3.5861252812867016E-6,2
drugstore,3.5861252812867016E-6,2
kai,7.172250562573403E-6,4
受益,5.379187921930053E-6,3
kan,5.379187921930053E-6,3
consumers,3.5861252812867016E-6,2
门当户对,1.7930626406433508E-6,1
错过,1.057906957979577E-4,59
赞美,3.5861252812867016E-6,2
放学,1.0758375843860106E-5,6
cross,5.379187921930053E-6,3
山水,1.7930626406433508E-6,1
drill,1.7930626406433508E-6,1
院校,3.5861252812867016E-6,2
壮大,1.7930626406433508E-6,1
hitachi,3.5861252812867016E-6,2
多变,1.7930626406433508E-6,1
earth,1.7930626406433508E-6,1
总监,1.7930626406433508E-6,1
精英,1.0758375843860106E-5,6
覆盖,3.4068190172223665E-5,19
purdue,5.379187921930053E-6,3
vary,3.5861252812867016E-6,2
somewhere,1.7930626406433508E-6,1
scene,5.379187921930053E-6,3
头像,1.2551438484503456E-5,7
bathtub,1.7930626406433508E-6,1
strengthen,1.7930626406433508E-6,1
scent,3.5861252812867016E-6,2
台球,1.0758375843860106E-5,6
鸟,3.5861252812867016E-6,2
鸡,1.0758375843860106E-5,6
比较,0.0011009404613550175,614
宿舍,3.765431545351037E-5,21
accept,1.7930626406433508E-6,1
northwestern,1.7930626406433508E-6,1
appreciated,1.7930626406433508E-6,1
自拔,1.7930626406433508E-6,1
atlanta,1.7930626406433508E-6,1
access,3.944737809415372E-5,22
三分之一,5.379187921930053E-6,3
情景,1.2551438484503456E-5,7
没什么,7.172250562573403E-6,4
略有,5.379187921930053E-6,3
joanna,1.7930626406433508E-6,1
不锈钢,1.6137563765790156E-5,9
ken,1.7930626406433508E-6,1
合照,5.379187921930053E-6,3
audit,1.7930626406433508E-6,1
安装,5.0205753938013824E-5,28
audio,1.0758375843860106E-5,6
intake,1.7930626406433508E-6,1
key,4.3033503375440424E-5,24
conferences,3.5861252812867016E-6,2
比利时,3.5861252812867016E-6,2
大力,1.0758375843860106E-5,6
赶紧,5.917106714123058E-5,33
回馈,1.7930626406433508E-6,1
文化,1.7930626406433508E-5,10
launch,1.7930626406433508E-6,1
想想,1.4344501125146806E-5,8
人间,3.980599062228239E-4,222
kata,1.7930626406433508E-6,1
胡萝卜,1.0758375843860106E-5,6
假日,1.2551438484503456E-5,7
kate,1.0758375843860106E-5,6
周日,1.3089357276696462E-4,73
shanghai,3.5861252812867016E-6,2
火腿,1.7930626406433508E-6,1
掂量,3.5861252812867016E-6,2
痛处,1.7930626406433508E-6,1
射程,1.7930626406433508E-6,1
吸毒,3.5861252812867016E-6,2
一针见血,1.7930626406433508E-6,1
学费,1.0758375843860106E-5,6
褪色,1.7930626406433508E-6,1
dynamic,5.379187921930053E-6,3
老鹰,1.7930626406433508E-6,1
俊男,1.7930626406433508E-6,1
query,1.7930626406433508E-6,1
处在,3.5861252812867016E-6,2
inquiries,5.379187921930053E-6,3
brazilian,1.7930626406433508E-6,1
once,3.5861252812867016E-6,2
carpet,1.4344501125146806E-5,8
脱离,1.7930626406433508E-6,1
唯一,6.813638034444733E-5,38
麻,1.2551438484503456E-5,7
basics,7.172250562573403E-6,4
kia,1.0758375843860106E-5,6
香蕉,1.7930626406433508E-6,1
黄,1.2551438484503456E-5,7
黏,1.7930626406433508E-6,1
黑,1.1475600900117445E-4,64
kit,1.4344501125146806E-5,8
throughout,1.7930626406433508E-6,1
铸铁,1.0758375843860106E-5,6
高度,2.5102876969006912E-5,14
coverage,7.172250562573403E-6,4
国际,9.144619467281089E-5,51
不合理,1.7930626406433508E-6,1
热爱,1.972368904707686E-5,11
technology,2.6895939609650264E-5,15
那时候,8.965313203216754E-6,5
自控,1.6137563765790156E-5,9
ones,5.379187921930053E-6,3
新人,2.330981432836356E-5,13
奈何,1.7930626406433508E-6,1
浴巾,1.7930626406433508E-6,1
大半,5.379187921930053E-6,3
经济学,1.6137563765790156E-5,9
鼎,1.7930626406433508E-6,1
feedback,1.0758375843860106E-5,6
可用,4.661962865672712E-5,26
鼓,1.0758375843860106E-5,6
teeth,5.379187921930053E-6,3
between,2.1516751687720212E-5,12
鼠,3.5861252812867016E-6,2
raspberry,3.5861252812867016E-6,2
inclusive,1.7930626406433508E-6,1
overhead,1.7930626406433508E-6,1
观点,5.379187921930053E-6,3
博士生,1.2910051012632125E-4,72
老鼠,3.5861252812867016E-6,2
借此,5.379187921930053E-6,3
intact,1.7930626406433508E-6,1
大厅,2.5102876969006912E-5,14
生灵,1.7930626406433508E-6,1
舍得,1.7930626406433508E-6,1
drivers,8.965313203216754E-6,5
偏方,1.7930626406433508E-6,1
文史,3.5861252812867016E-6,2
wear,8.965313203216754E-6,5
weak,1.7930626406433508E-6,1
齐,1.6137563765790156E-5,9
ficus,3.5861252812867016E-6,2
雨天,7.172250562573403E-6,4
混乱,7.172250562573403E-6,4
骗术,5.379187921930053E-6,3
leaf,3.5861252812867016E-6,2
工程师,2.6895939609650264E-5,15
lead,3.5861252812867016E-6,2
highlights,1.7930626406433508E-6,1
drying,7.172250562573403E-6,4
品尝,3.5861252812867016E-6,2
goldberg,1.7930626406433508E-6,1
匹兹堡,1.936507651894819E-4,108
easel,5.379187921930053E-6,3
大叔,1.2551438484503456E-5,7
staining,3.5861252812867016E-6,2
bissell,3.0482064890936964E-5,17
北边,1.757201387830484E-4,98
可疑,1.7930626406433508E-6,1
incognito,1.7930626406433508E-6,1
基础,9.50323199540976E-5,53
only,1.2192825956374786E-4,68
龙,8.965313203216754E-6,5
伙计,1.7930626406433508E-6,1
照搬,1.7930626406433508E-6,1
cadence,1.7930626406433508E-6,1
油画,5.379187921930053E-6,3
假期,4.482656601608377E-5,25
阿联酋,1.7930626406433508E-6,1
美利坚,1.7930626406433508E-6,1
starters,1.7930626406433508E-6,1
储存,1.0758375843860106E-5,6
难度,1.2551438484503456E-5,7
发票,2.1516751687720212E-5,12
周期,3.5861252812867016E-6,2
referees,1.7930626406433508E-6,1
躺在,1.7930626406433508E-6,1
week,1.972368904707686E-5,11
周末,2.9047614778422286E-4,162
毗邻,1.6137563765790156E-5,9
会计,1.7930626406433508E-6,1
大名,5.379187921930053E-6,3
大同,1.6137563765790156E-5,9
hoist,1.7930626406433508E-6,1
名牌,1.0758375843860106E-5,6
小提琴,5.379187921930053E-6,3
黄昏,7.172250562573403E-6,4
studies,1.0758375843860106E-5,6
会议,8.965313203216754E-6,5
佳能,5.7378004500587225E-5,32
舒心,2.8689002250293613E-5,16
魅力,3.5861252812867016E-6,2
处境,1.7930626406433508E-6,1
电源,3.765431545351037E-5,21
暴风雪,1.7930626406433508E-6,1
会话,1.7930626406433508E-6,1
灰色,2.8689002250293613E-5,16
愉快,6.813638034444733E-5,38
convection,7.172250562573403E-6,4
approved,3.5861252812867016E-6,2
would,5.379187921930053E-5,30
不必要,1.7930626406433508E-6,1
宏观,3.5861252812867016E-6,2
与此同时,1.7930626406433508E-6,1
暴风雨,1.7930626406433508E-6,1
仅限,8.965313203216754E-5,50
•,4.841269129737047E-5,27
良品,1.7930626406433508E-6,1
solid,8.965313203216754E-6,5
gabriel,1.7930626406433508E-6,1
治疗,1.7930626406433508E-6,1
moore,1.7930626406433508E-6,1
left,3.5861252812867016E-6,2
hosting,3.5861252812867016E-6,2
example,7.172250562573403E-6,4
往返,2.7613164665907605E-4,154
quiet,4.841269129737047E-5,27
address,4.841269129737047E-5,27
实行,1.7930626406433508E-6,1
停放,8.965313203216754E-6,5
套件,5.379187921930053E-6,3
爱尔兰,3.5861252812867016E-6,2
frances,1.0758375843860106E-5,6
norway,1.7930626406433508E-6,1
fifth,1.7930626406433508E-6,1
传讯,1.7930626406433508E-6,1
难得,1.972368904707686E-5,11
摇篮,3.5861252812867016E-6,2
查询,1.524103244546848E-4,85
私房,3.5861252812867016E-6,2
门票,1.0758375843860106E-5,6
大哥,7.172250562573403E-6,4
speakers,1.7930626406433508E-5,10
传记,5.379187921930053E-6,3
implement,1.7930626406433508E-6,1
others,1.2551438484503456E-5,7
失去,7.172250562573403E-6,4
礼物,1.2551438484503456E-5,7
外国,1.2551438484503456E-5,7
foyer,7.172250562573403E-6,4
deducted,1.7930626406433508E-6,1
dorchester,1.7930626406433508E-6,1
愉悦,8.965313203216754E-6,5
方位,5.379187921930053E-6,3
北部,1.6137563765790156E-5,9
舞弊,1.7930626406433508E-6,1
小童,1.7930626406433508E-6,1
manuals,1.7930626406433508E-6,1
接近,3.227512753158031E-5,18
电影院,1.0758375843860106E-5,6
循循善诱,1.7930626406433508E-6,1
僵化,1.7930626406433508E-6,1
lens,8.965313203216754E-6,5
海明威,1.7930626406433508E-6,1
外地,8.965313203216754E-6,5
expanded,8.965313203216754E-6,5
收录,3.5861252812867016E-6,2
下水道,1.7930626406433508E-6,1
传说,3.5861252812867016E-6,2
有组织,1.7930626406433508E-6,1
流明,3.5861252812867016E-6,2
意思,5.0205753938013824E-5,28
pilot,7.172250562573403E-6,4
ticket,3.0482064890936964E-5,17
处女,5.379187921930053E-6,3
零头,1.7930626406433508E-6,1
magnet,1.7930626406433508E-6,1
接送,1.972368904707686E-4,110
合理,7.889475618830744E-5,44
确认,5.379187921930053E-5,30
well,5.917106714123058E-5,33
handling,1.7930626406433508E-6,1
outlook,1.057906957979577E-4,59
camping,8.965313203216754E-6,5
口碑,3.944737809415372E-5,22
gadget,7.172250562573403E-6,4
pioneer,3.5861252812867016E-6,2
确诊,1.7930626406433508E-6,1
loved,8.965313203216754E-6,5
experiment,1.7930626406433508E-6,1
头发,2.6895939609650264E-5,15
保留,1.972368904707686E-5,11
优质,6.096412978187393E-5,34
照料,1.7930626406433508E-6,1
决策者,3.5861252812867016E-6,2
教学,3.0482064890936964E-5,17
™,1.7930626406433508E-6,1
went,1.7930626406433508E-6,1
生物,1.7930626406433508E-5,10
方便,0.002382980249415013,1329
leon,5.379187921930053E-6,3
政府,1.972368904707686E-5,11
spots,1.7930626406433508E-6,1
scion,5.379187921930053E-6,3
推迟,3.5861252812867016E-6,2
痞子,1.7930626406433508E-6,1
必需品,2.5102876969006912E-5,14
coolant,1.7930626406433508E-6,1
推进,1.7930626406433508E-6,1
respectively,1.7930626406433508E-6,1
系统,1.3627276068889466E-4,76
aero,1.7930626406433508E-6,1
马加爵,5.379187921930053E-6,3
教官,1.7930626406433508E-6,1
随时,7.064666804134802E-4,394
rails,1.7930626406433508E-6,1
irons,1.7930626406433508E-6,1
noise,7.172250562573403E-6,4
靓丽,1.7930626406433508E-6,1
感应,5.379187921930053E-6,3
赶考,1.7930626406433508E-6,1
meadow,1.7930626406433508E-6,1
product,3.9626684358218055E-4,221
清仓,1.972368904707686E-5,11
walter,1.7930626406433508E-6,1
automobiles,1.7930626406433508E-6,1
教室,1.7930626406433508E-6,1
premier,3.5861252812867016E-6,2
信用,1.3447969804825132E-4,75
降温,1.7930626406433508E-6,1
待遇,1.2551438484503456E-5,7
walks,1.7930626406433508E-6,1
quad,3.5861252812867016E-6,2
酸菜,3.5861252812867016E-6,2
优越,1.3447969804825132E-4,75
thanksgiving,1.7930626406433508E-6,1
传感器,7.172250562573403E-6,4
惠普,3.944737809415372E-5,22
部长,1.7930626406433508E-6,1
fuel,1.7930626406433508E-6,1
照明,2.1516751687720212E-5,12
放弃,1.4344501125146806E-5,8
lets,1.7930626406433508E-6,1
lab,3.227512753158031E-5,18
employee,7.172250562573403E-6,4
lac,1.7930626406433508E-6,1
employed,1.7930626406433508E-6,1
burger,3.5861252812867016E-6,2
biggest,1.7930626406433508E-6,1
ambitious,1.7930626406433508E-6,1
function,5.379187921930053E-6,3
west,1.3985888597018136E-4,78
raise,5.379187921930053E-6,3
quite,8.965313203216754E-6,5
深入,7.172250562573403E-6,4
pitcher,1.6137563765790156E-5,9
花丛,1.7930626406433508E-6,1
畅游,3.5861252812867016E-6,2
商业,1.4344501125146806E-5,8
新元,3.5861252812867016E-6,2
las,3.5861252812867016E-6,2
law,2.8689002250293613E-5,16
移居,3.5861252812867016E-6,2
less,3.227512753158031E-5,18
里程,2.0261607839269864E-4,113
condition,2.3847733120556567E-4,133
were,7.172250562573403E-6,4
improve,3.5861252812867016E-6,2
lbs,5.379187921930053E-6,3
门窗,3.5861252812867016E-6,2
梳理,3.5861252812867016E-6,2
新兴,1.7930626406433508E-6,1
chinatown,1.7930626406433508E-6,1
秩序,1.7930626406433508E-6,1
lcd,1.7930626406433508E-5,10
教导,1.7930626406433508E-6,1
修理,2.330981432836356E-5,13
超级,3.7475009189446033E-4,209
电灯,1.7930626406433508E-6,1
秉承,5.379187921930053E-6,3
floor,1.7392707614240503E-4,97
雅思,3.5861252812867016E-6,2
doctor,7.172250562573403E-6,4
夏天,2.7792470929971936E-4,155
leonard,3.5861252812867016E-6,2
瓷砖,7.172250562573403E-6,4
crescent,1.7930626406433508E-6,1
investor,1.7930626406433508E-6,1
黑暗,5.379187921930053E-6,3
lambs,1.7930626406433508E-6,1
电炉,7.172250562573403E-6,4
sport,3.5861252812867017E-5,20
傻子,1.7930626406433508E-6,1
旅伴,1.7930626406433508E-6,1
led,1.2192825956374786E-4,68
哥伦布,5.379187921930053E-6,3
lee,1.7930626406433508E-5,10
禁止,1.2551438484503456E-5,7
lei,3.5861252812867016E-6,2
部门,1.6137563765790156E-5,9
身子,1.7930626406433508E-6,1
docs,1.7930626406433508E-6,1
洒泪,1.7930626406433508E-6,1
柔软,1.7930626406433508E-6,1
leo,1.7930626406433508E-6,1
微调,1.4344501125146806E-5,8
prep,1.7930626406433508E-6,1
let,2.8689002250293613E-5,16
prest,5.379187921930053E-6,3
press,7.172250562573403E-6,4
意愿,3.5861252812867017E-5,20
发烧友,1.7930626406433508E-6,1
lew,5.379187921930053E-6,3
部队,1.7930626406433508E-6,1
合用,2.330981432836356E-5,13
协议,2.1516751687720212E-5,12
enroll,5.379187921930053E-6,3
深切,1.7930626406433508E-6,1
devonshire,1.7930626406433508E-6,1
民谣,1.7930626406433508E-6,1
炒股,1.7930626406433508E-6,1
长时间,5.379187921930053E-6,3
放心,7.530863090702074E-5,42
楼层,2.6895939609650264E-5,15
餐饮,5.379187921930053E-6,3
clay,7.172250562573403E-6,4
自有,5.379187921930053E-6,3
小米,1.6137563765790156E-5,9
必要,5.0205753938013824E-5,28
promote,1.0758375843860106E-5,6
停机,3.5861252812867016E-6,2
虫子,5.379187921930053E-6,3
电热,6.992944298509068E-5,39
does,1.7930626406433508E-6,1
腰疼,3.5861252812867016E-6,2
江苏,1.7930626406433508E-6,1
graphic,1.7930626406433508E-6,1
高手,1.2551438484503456E-5,7
quiz,3.5861252812867016E-6,2
雏形,3.5861252812867016E-6,2
dodge,2.1516751687720212E-5,12
当面,1.0758375843860106E-5,6
餐馆,1.3447969804825132E-4,75
壁挂,1.7930626406433508E-6,1
客观,3.5861252812867016E-6,2
沿着,5.379187921930053E-6,3
整套,4.482656601608377E-5,25
球队,3.5861252812867016E-6,2
估计,1.0937682107924441E-4,61
思维,8.965313203216754E-6,5
fuji,2.295120180023489E-4,128
fashion,3.5861252812867016E-6,2
insurance,1.972368904707686E-5,11
medical,1.2551438484503456E-5,7
laminate,3.5861252812867016E-6,2
