SentenceID,NonCodeSwitchedSentence,ChineseWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfPunctuation
1428,可 拎包 入住 。,3,1,[0_1_2],[3]
1429,房子 分 三 层 ， 二 楼 是 三 间 卧室 和 一 个 卫生间 。,14,2,[0_1_2_3_5_6_7_8_9_10_11_12_13_14],[4_15]
1430,一 楼 是 客厅 ， 饭厅 ， 厨房 ， 空间 很大 。,8,4,[0_1_2_3_5_7_9_10],[4_6_8_11]
1431,家具 齐备 ， 拎包 入住 。,4,2,[0_1_3_4],[2_5]
1432,现 住 三 人 ， 两 个 卧室 各 一 人 ， 客厅 一 人 。,13,3,[0_1_2_3_5_6_7_8_9_10_12_13_14],[4_11_15]
1433,能够 接手 这些 家具 的 优先 考虑 。,7,1,[0_1_2_3_4_5_6],[7]
1434,家具 图片 具体 看 下面 图片 。,6,1,[0_1_2_3_4_5],[6]
1435,家具 都 是 我 入学 时 买 的 全新 的 。,10,1,[0_1_2_3_4_5_6_7_8_9],[10]
1436,房间 干净 ， 床 很 舒服 ！,5,2,[0_1_3_4_5],[2_6]
1437,重要 的 好处 强调 三 遍 ： 有 空调 ！,8,2,[0_1_2_3_4_5_7_8],[6_9]
1438,有 空调 ！,2,1,[0_1],[2]
1439,房间 干净 ， 床 很 舒服 ！,5,2,[0_1_3_4_5],[2_6]
1440,厨房 配 烤箱 、 微波炉 。,4,2,[0_1_2_4],[3_5]
1441,面积 很 大 。,3,1,[0_1_2],[3]
1442,八月 可以 一 年 约,5,0,[0_1_2_3_4],
1443,替 很 认真 租房 的 房东 发 帖子 招租 ， 感 兴趣 请 直接 英文 联系 房东 ！,16,2,[0_1_2_3_4_5_6_7_8_10_11_12_13_14_15_16],[9_17]
1444,隐私 很 好 。,3,1,[0_1_2],[3]
1445,房子 后院 有 一 个 独立 车库 ， 有 遥控 ， 也 有 独立 的 门 。,14,3,[0_1_2_3_4_5_6_8_9_11_12_13_14_15],[7_10_16]
1446,房东 很少 会 有 客人 来访 。,6,1,[0_1_2_3_4_5],[6]
1447,二 楼 的 两 个 房间 可以 任意 使用 ， 可以 一 个 做 书房 一 个 做 卧室 。,18,2,[0_1_2_3_4_5_6_7_8_10_11_12_13_14_15_16_17_18],[9_19]
1448,一般 情况 下 只有 房东 和 租户 两 个 人 在家 。,11,1,[0_1_2_3_4_5_6_7_8_9_10],[11]
1449,高速 无线 网 速度 很 快 。,6,1,[0_1_2_3_4_5],[6]
1450,客厅 有 全新 的 饭桌 和 椅子 。,7,1,[0_1_2_3_4_5_6],[7]
1451,均 可 免费 使用 。,4,1,[0_1_2_3],[4]
1452,房子 各 个 房间 采光 都 很 充足 。,8,1,[0_1_2_3_4_5_6_7],[8]
1453,关于 房东 ： 房东 在 匹 大 工作 ， 从事 科研 工作 。,10,3,[0_1_3_4_5_6_7_9_10_11],[2_8_12]
1454,爱 干净 、 安静 。,3,2,[0_1_3],[2_4]
1455,也 很 愿意 跟 新 朋友 交谈 。,7,1,[0_1_2_3_4_5_6],[7]
1456,房东 为人 很 好 而且 很 愿意 认识 不同 背景 的 朋友 。,12,1,[0_1_2_3_4_5_6_7_8_9_10_11],[12]
1457,英语 是 他 的 母语 ， 同时 他 在 工作 中 跟 英语 不 是 母语 的 很多 科研 工作者 打 过 交道 ， 有 丰富 经验 ， 交流 不受 影响 。,28,4,[0_1_2_3_4_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_24_25_26_28_29_30],[5_23_27_31]
1458,房子 或 电器 出现 问题 房东 维修 速度 非常 快 ， 毕竟 是 自己 的 房子 ， 很 爱护 。,17,3,[0_1_2_3_4_5_6_7_8_9_11_12_13_14_15_17_18],[10_16_19]
1459,所以 房东 和 房客 最好 不 要 放大 音量 的 音乐 。,11,1,[0_1_2_3_4_5_6_7_8_9_10],[11]
1460,的 尽头 ， 平时 几乎 没有 什么 车辆 经过 ， 非常 安静 。,10,3,[0_1_3_4_5_6_7_8_10_11],[2_9_12]
1461,也 很 容易 看到 国庆 的 烟花 。,7,1,[0_1_2_3_4_5_6],[7]
1462,顶 一下 ~,2,1,[0_1],[2]
1463,家具 齐全 。,2,1,[0_1],[2]
1464,欢迎 联系 。,2,1,[0_1],[2]
1465,很 安静 。,2,1,[0_1],[2]
1466,在 背 朝 马路 的 一 侧 。,7,1,[0_1_2_3_4_5_6],[7]
1467,空间 很大 。,2,1,[0_1],[2]
1468,交通 便利 。,2,1,[0_1],[2]
1469,欢迎 来看 房间 。,3,1,[0_1_2],[3]
1470,家具 齐全 ， 可 拎包 入住 。,5,2,[0_1_3_4_5],[2_6]
1471,公寓 设施 新 ， 物业 良好 。,5,2,[0_1_2_4_5],[3_6]
1472,有 专人 负责 开门 和 接受 快递 包裹 。,8,1,[0_1_2_3_4_5_6_7],[8]
1473,治安 非常 好 。,3,1,[0_1_2],[3]
1474,优先 考虑 整 租 。,4,1,[0_1_2_3],[4]
1475,非常 好 的 地点 ， 房子 状况 非常 好 。,8,2,[0_1_2_3_5_6_7_8],[4_9]
1476,提供 主要 家具 。,3,1,[0_1_2],[3]
1477,完美 地点 。,2,1,[0_1],[2]
1478,社区 安全 安静 。,3,1,[0_1_2],[3]
1479,院子 非常 漂亮 。,3,1,[0_1_2],[3]
1480,房子 ： 房子 非常 大 。,4,2,[0_2_3_4],[1_5]
1481,结构 如下 ： 一 楼 是 ： 客厅 、 餐厅 、 厨房 、 一 个 卫生间 。,11,6,[0_1_3_4_5_7_9_11_13_14_15],[2_6_8_10_12_16]
1482,车库 ： 后院 有 车库 。,4,2,[0_2_3_4],[1_5]
1483,院子 平坦 舒服 漂亮 。,4,1,[0_1_2_3],[4]
1484,整个 房子 夏天 有 中央 空调 ， 冬天 有 暖气 。,9,2,[0_1_2_3_4_5_7_8_9],[6_10]
1485,房子 装修 高档 、 新 。,4,2,[0_1_2_4],[3_5]
1486,欢迎 联系 。,2,1,[0_1],[2]
1487,暑假 短 租 和 整 租 一 年 。,8,1,[0_1_2_3_4_5_6_7],[8]
1488,8/1 开始 available.,1,2,[1],[0_2]
1489,详情 和 照片 请 看 如下 link.,6,1,[0_1_2_3_4_5],[6]
1490,关于 租房 的 具体 信息 在 后面 。,7,1,[0_1_2_3_4_5_6],[7]
1491,每 个 人 有 独立 的 洗手间 ， 保证 了 隐私 ；,10,2,[0_1_2_3_4_5_6_8_9_10],[7_11]
1492,公共 部分 的 餐厅 客厅 和 厨房 可以 用来 聊天 和 聚餐 等 ， 不 会 觉得 孤单 。,17,2,[0_1_2_3_4_5_6_7_8_9_10_11_12_14_15_16_17],[13_18]
1493,扔 垃圾 也 是 在 同 楼层 ， 方便 到 不 能 再 方便 。,13,2,[0_1_2_3_4_5_6_8_9_10_11_12_13],[7_14]
1494,客厅 很 大 ， 不 准备 再 出租 ， 现在 主要 用来 聚餐 、 瑜伽 等 。,13,4,[0_1_2_4_5_6_7_9_10_11_12_14_15],[3_8_13_16]
1495,你 是 跟 公寓 直接 签 合同 ， 而 不 是 和 我 。,12,2,[0_1_2_3_4_5_6_8_9_10_11_12],[7_13]
1496,有意 向 的 朋友 请 发 邮件 至 shaomingfu##gmail 支持,9,1,[0_1_2_3_4_5_6_7_9],[8]
1497,- 招租 的 是 客厅 ， 因为 房型 设计 出色 所以 客厅 和 房间 基本上 是 完全 分隔 不 会 互相 干扰 。,20,3,[1_2_3_4_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21],[0_5_22]
1498,价位 及 要求 ： -$500 水 电网 全 包 可 刀 。,9,3,[0_1_2_5_6_7_8_9_10],[3_4_11]
1499,降价 顶 ！,2,1,[0_1],[2]
1500,暑期 短 租,3,0,[0_1_2],
1501,此 层 本来 是 客厅 被 房东 改造 成 两 间 卧室 ， 二 层 带 一 独立 卫生间 ， 二 层 住户 自用 。,22,3,[0_1_2_3_4_5_6_7_8_9_10_11_13_14_15_16_17_18_20_21_22_23],[12_19_24]
1502,十分 安静 ， 治安 也好 。,4,2,[0_1_3_4],[2_5]
1503,附件 照片 为 展示 间 ， 布局 相同 ， 家具 不同 。,9,3,[0_1_2_3_4_6_7_9_10],[5_8_11]
1504,各 个 房间 独立 性 都 挺 好 的 ， 不 会 相互 打扰 。,13,2,[0_1_2_3_4_5_6_7_8_10_11_12_13],[9_14]
1505,社区 环境 安静 、 安全 ， 也 很 方便 。,7,3,[0_1_2_4_6_7_8],[3_5_9]
1506,$480 全 包 ， 拎包 入住 ， 欢迎 上门 看 房 ！,8,4,[1_2_4_5_7_8_9_10],[0_3_6_11]
1507,卧室 家具 网络 齐全 。,4,1,[0_1_2_3],[4]
1508,小区 安静 安全 。,3,1,[0_1_2],[3]
1509,安静 安全 干净 。,3,1,[0_1_2],[3]
1510,5/4 开始 ， 可以 住 到 8/1 .,4,4,[1_3_4_5],[0_2_6_7]
1511,家具 全 。,2,1,[0_1],[2]
1512,有 中央 空调 。,3,1,[0_1_2],[3]
1513,来信 请 简单 介绍 自己 ， 并 说明 几 个 人 、 需要 几 个 卧室 、 入住 时间 ， 住 多久 等 。,19,5,[0_1_2_3_4_6_7_8_9_10_12_13_14_15_17_18_20_21_22],[5_11_16_19_23]
1514,入住 时间 可 机动 。,4,1,[0_1_2_3],[4]
1515,房子 看 着 便宜 是 因为 一 整 栋 公寓 都 是 房东 的 ， 而且 每次 都是 整套 ， 相对 便宜 ， 加上 闲置 。,22,4,[0_1_2_3_4_5_6_7_8_9_10_11_12_13_15_16_17_18_20_21_23_24],[14_19_22_25]
1516,安静 而且 安全 。,3,1,[0_1_2],[3]
1517,街道 停车 。,2,1,[0_1],[2]
1518,安静 而且 安全 。,3,1,[0_1_2],[3]
1519,街道 停车 。,2,1,[0_1],[2]
1520,四 卧室 ， 一 厅 ， 一 卫 ， 一 厨房 ， 房间 阳光 明媚 ， 干净 整洁 ， 家具 齐全 。,15,7,[0_1_3_4_6_7_9_10_12_13_14_16_17_19_20],[2_5_8_11_15_18_21]
1521,拎包 入住 。,2,1,[0_1],[2]
1522,室内 保温 好 ， 有 空调 ， 高速 宽带 上网 。,8,3,[0_1_2_4_5_7_8_9],[3_6_10]
1523,房间 内 有 空调 ， 可 冬夏 使用 。,7,2,[0_1_2_3_5_6_7],[4_8]
1524,房子 分 三 层 ， 二 楼 是 三 间 卧室 和 一 个 卫生间 。,14,2,[0_1_2_3_5_6_7_8_9_10_11_12_13_14],[4_15]
1525,一 楼 是 客厅 ， 饭厅 ， 厨房 ， 空间 很大 。,8,4,[0_1_2_3_5_7_9_10],[4_6_8_11]
1526,以及 一些 小 桌子 。,4,1,[0_1_2_3],[4]
1527,此 房 的 主要 优点 是 价格 便宜 ， 交通 便利 ， 家具 设施 齐备 。,13,3,[0_1_2_3_4_5_6_7_9_10_12_13_14],[8_11_15]
1528,房子 五 月 多 开始 出租 ， 长 租 可以 租 一 年 及 以上 ， 直接 与 房东 签 合同 。,19,3,[0_1_2_3_4_5_7_8_9_10_11_12_13_14_16_17_18_19_20],[6_15_21]
1529,短 租 可以 租 5-8月 。,4,2,[0_1_2_3],[4_5]
1530,我们 三 都 爱 整洁 ， 不 吵闹 。,7,2,[0_1_2_3_4_6_7],[5_8]
1531,房间 是 4b/2.,2,1,[0_1],[2]
1532,有 兴趣 快 联系 哦 。,5,1,[0_1_2_3_4],[5]
1533,物业 就 在 一楼 ， 非常 方便 ， 办事 效率 很 高 。,10,3,[0_1_2_3_5_6_8_9_10_11],[4_7_12]
1534,这里 的 公寓 客厅 都会 出租 。,6,1,[0_1_2_3_4_5],[6]
1535,现在 客厅 降价 出租 ！,4,1,[0_1_2_3],[4]
1536,价格 可 议 ！,3,1,[0_1_2],[3]
1537,价格 ： 470+utility 均摊 ， 随时 看 房 入住 。,6,4,[0_3_5_6_7_8],[1_2_4_9]
1538,可以 拎包 入住 。,3,1,[0_1_2],[3]
1539,可以 使用 房间 里面 的 全部 家具 ， 包括 床 ， 饭桌 ， 书桌 ， 沙发 ， 显示器 等等 。,14,6,[0_1_2_3_4_5_6_8_9_11_13_15_17_18],[7_10_12_14_16_19]
1540,（ 客厅 不 住 人 。,4,2,[1_2_3_4],[0_5]
1541,入住 时间 ： 四月 中 到 下旬 ， 具体 时间 可以 商量 。,10,3,[0_1_3_4_5_6_8_9_10_11],[2_7_12]
1542,长 租 优先 。,3,1,[0_1_2],[3]
1543,长 租 优先 ， 女生 优先 ~~~ 非常 感谢 ！,7,3,[0_1_2_4_5_7_8],[3_6_9]
1544,我们 的 小 家 舒适 便利 ， 独立 控 温 中央 空调 ， 两 卧室 两 卫生间 ， 超大 客厅 不 招租 作为 舒适 生活 的 公共 区域 。,25,4,[0_1_2_3_4_5_7_8_9_10_11_13_14_15_16_18_19_20_21_22_23_24_25_26_27],[6_12_17_28]
1545,未 标题 -1.,2,1,[0_1],[2]
1546,要 照片 或者 咨询 详情 ： shuang.,5,2,[0_1_2_3_4],[5_6]
1547,降价 啦 ！,2,1,[0_1],[2]
1548,希望 你 是 一 个 爱 卫生 的 人 。,9,1,[0_1_2_3_4_5_6_7_8],[9]
1549,水电 暖气 全 包 （ 网络 除外 ） 两 个 房间 都 有 充足 家具 （ 沙发 很多 ， 沙发 一旦 坐 进去 就 不 想 出来 了 ！,24,5,[0_1_2_3_5_6_8_9_10_11_12_13_14_16_17_19_20_21_22_23_24_25_26_27],[4_7_15_18_28]
1550,物业 就 在 一楼 ， 非常 方便 ， 办事 效率 很 高 。,10,3,[0_1_2_3_5_6_8_9_10_11],[4_7_12]
1551,这里 的 公寓 客厅 都会 出租 。,6,1,[0_1_2_3_4_5],[6]
1552,现在 客厅 降价 出租 ！,4,1,[0_1_2_3],[4]
1553,价格 可 议 ！,3,1,[0_1_2],[3]
1554,步行 十五 分钟 。,3,1,[0_1_2],[3]
1555,可以 只 租 其中 一 间 请问 有 联系 方式 可以 看看 房间 具体 信息 嘛 ？,16,1,[0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15],[16]
1556,居住 环境 十分 安全 。,4,1,[0_1_2_3],[4]
1557,附 官方 照片 。,3,1,[0_1_2],[3]
1558,一 楼 卧室 落地窗 ， 房间 大 ， 三 楼 卧室 无 窗 但 有 独立 卫生间 。,15,3,[0_1_2_3_5_6_8_9_10_11_12_13_14_15_16],[4_7_17]
1559,二 楼 三 楼 中央 空调 ， 一 楼 单独 空调 。,10,2,[0_1_2_3_4_5_7_8_9_10],[6_11]
1560,设施 很 好 。,3,1,[0_1_2],[3]
1561,房屋 出租 ， 独 栋 房子 ， 其中 一 大 间 带 独立 卫生间 。,12,3,[0_1_3_4_5_7_8_9_10_11_12_13],[2_6_14]
1562,五月 可以 入住 。,3,1,[0_1_2],[3]
1563,房子 情况 ： 两 居 （ 面积 一样 大 ） ， 房间 里 都 有 大 壁橱 。,13,5,[0_1_3_4_6_7_8_11_12_13_14_15_16],[2_5_9_10_17]
1564,后面 有 个 阳台 和 大 院子 ， 可以 养 宠物 （ 无 任何 费用 ） 独立 地下室 也 很 大 ， 可以 存 很多 东西 ！,22,5,[0_1_2_3_4_5_6_8_9_10_12_13_14_16_17_18_19_20_22_23_24_25],[7_11_15_21_26]
1565,房子 有 任何 问题 可以 联系 房东 ， 第二 天 就 会 来 修理 。,13,2,[0_1_2_3_4_5_6_8_9_10_11_12_13],[7_14]
1566,房子 条件 真的 很 好 ， 很 舒服 ！,7,2,[0_1_2_3_4_6_7],[5_8]
1567,今年 早 都 没有 了 ！,5,1,[0_1_2_3_4],[5]
1568,室内 就 有 全新 洗衣机 ！,5,1,[0_1_2_3_4],[5]
1569,比 两 个 卧室 都 大 很多 ！,7,1,[0_1_2_3_4_5_6],[7]
1570,且 非常 独立 ！,3,1,[0_1_2],[3]
1571,进 两 个 房间 和 厨房 都 不 需要 经过 客厅 ！,11,1,[0_1_2_3_4_5_6_7_8_9_10],[11]
1572,也 可以 坐 71a.,3,1,[0_1_2],[3]
1573,时间 可 商量 - 周围 环境 很 安静 ， 也 很 安全 。,10,3,[0_1_2_4_5_6_7_9_10_11],[3_8_12]
1574,- 有 兴趣 欢迎 联系 elena.,4,2,[1_2_3_4],[0_5]
1575,一 楼 卧室 落地窗 ， 房间 大 ， 二 楼 卧室 采光 好 ， 窗外 景色 优美 ， 三 楼 卧室 无 窗 但 有 独立 卫生间 。,23,5,[0_1_2_3_5_6_8_9_10_11_12_14_15_16_18_19_20_21_22_23_24_25_26],[4_7_13_17_27]
1576,二 楼 三 楼 中央 空调 ， 一 楼 单独 空调 。,10,2,[0_1_2_3_4_5_7_8_9_10],[6_11]
1577,匹 大 房产 ， 物业 服务 方便 而且 社区 安全 。,9,2,[0_1_2_4_5_6_7_8_9],[3_10]
1578,有 洗衣机 ， 可以 不 用 公共 洗衣机 。,7,2,[0_1_3_4_5_6_7],[2_8]
1579,客厅 和 卧室 都 很 大 ， 可 供 一 到 两 人 居住 。,13,2,[0_1_2_3_4_5_7_8_9_10_11_12_13],[6_14]
1580,家具 齐全 ， 可 拎包 入住 。,5,2,[0_1_3_4_5],[2_6]
1581,房租 原价 $890 ， 房租 可 议 。,5,3,[0_1_4_5_6],[2_3_7]
1582,有 独立 卫生间 ， 5.,3,2,[0_1_2],[3_4]
1583,公寓 管理 到位 ， 设施 出现 问题 ， 修复 非常 及时 。,9,3,[0_1_2_4_5_6_8_9_10],[3_7_11]
1584,也 计划 找 一 个 新 的 一 年 的 房子 ， 请 问 你 想 什么 时候 开始 签 合同 。,20,2,[0_1_2_3_4_5_6_7_8_9_10_12_13_14_15_16_17_18_19_20],[11_21]
1585,可以 短信 联系 ！,3,1,[0_1_2],[3]
1586,也 计划 找 一 个 新 的 一 年 的 房子 ， 请 问 你 想 什么 时候 开始 签 合同 。,20,2,[0_1_2_3_4_5_6_7_8_9_10_12_13_14_15_16_17_18_19_20],[11_21]
1587,可以 短信 联系 ！,3,1,[0_1_2],[3]
1588,也 计划 找 一 个 新 的 一 年 的 房子 ， 请 问 你 想 什么 时候 开始 签 合同 。,20,2,[0_1_2_3_4_5_6_7_8_9_10_12_13_14_15_16_17_18_19_20],[11_21]
1589,（ 举 个 例子 ， 10：30 的 课 ， 10：10 分 起床 都 来 的 及 。,11,6,[1_2_3_6_7_10_11_12_13_14_15],[0_4_5_8_9_16]
1590,安全 社区 。,2,1,[0_1],[2]
1591,附近 大学 老师 和 学生 居多 。,6,1,[0_1_2_3_4_5],[6]
1592,有 一 个 卧室 3/27 可以 开始 入住 。,7,2,[0_1_2_3_5_6_7],[4_8]
1593,卧室 家具 齐全 ， 网络 有 。,5,2,[0_1_2_4_5],[3_6]
1594,可以 全 包 。,3,1,[0_1_2],[3]
1595,麻烦 简单 自我 介绍 ， 并 说明 入住 时间 ， 住 多久 ， 几 人 。,12,4,[0_1_2_3_5_6_7_8_10_11_13_14],[4_9_12_15]
1596,此 居住 。,2,1,[0_1],[2]
1597,目前 已 有 几十 户 华人 住户 。,7,1,[0_1_2_3_4_5_6],[7]
1598,公寓 设施 新 ， 物业 良好 。,5,2,[0_1_2_4_5],[3_6]
1599,有 专人 负责 开门 和 接受 快递 包裹 。,8,1,[0_1_2_3_4_5_6_7],[8]
1600,很 安静 。,2,1,[0_1],[2]
1601,在 背 朝 马路 的 一 侧 。,7,1,[0_1_2_3_4_5_6],[7]
1602,空间 很大 。,2,1,[0_1],[2]
1603,交通 便利 。,2,1,[0_1],[2]
1604,价格 可以 再 商量 。,4,1,[0_1_2_3],[4]
1605,卧室 和 客厅 空间 都 相当 大 。,7,1,[0_1_2_3_4_5_6],[7]
1606,独自 享有 一 楼 空间 ， 屋子 内 就 有 洗衣机 ，,10,2,[0_1_2_3_4_6_7_8_9_10],[5_11]
1607,户型 ： 去 看 的 时候 一下 就 喜欢 上 这个 户型 了 ， 关键 价格 也 算 这样 公寓 里 比较 良心 的 了 。,23,3,[0_2_3_4_5_6_7_8_9_10_11_12_14_15_16_17_18_19_20_21_22_23_24],[1_13_25]
1608,所以 选 了 这么 久 中意 这个 公寓 是 因为 它 真的 蛮 不错 。,14,1,[0_1_2_3_4_5_6_7_8_9_10_11_12_13],[14]
1609,自己 屋里 怎样 无所谓 ， 但是 希望 我们 可以 轮流 打扫 公共 区域 的 卫生 。,14,2,[0_1_2_3_5_6_7_8_9_10_11_12_13_14],[4_15]
1610,非常 适合 初 到 匹兹堡 求学 的 新生 同学 。,9,1,[0_1_2_3_4_5_6_7_8],[9]
1611,各 个 房间 独立 性 都 挺 好 的 ， 不 会 相互 打扰 。,13,2,[0_1_2_3_4_5_6_7_8_10_11_12_13],[9_14]
1612,社区 环境 安静 、 安全 ， 也 很 方便 。,7,3,[0_1_2_4_6_7_8],[3_5_9]
1613,$500 全 包 ， 拎包 入住 ， 欢迎 上门 看 房 ！,8,4,[1_2_4_5_7_8_9_10],[0_3_6_11]
1614,两 室 一 厅 ， 出租 其中 一 间 卧室 。,9,2,[0_1_2_3_5_6_7_8_9],[4_10]
1615,房子 位于 mt.,2,1,[0_1],[2]
1616,安全 、 安静 ， 舒适 ， 交通 便利 。,5,4,[0_2_4_6_7],[1_3_5_8]
1617,而且 ， 完全 可以 拎包 入住 ！,5,2,[0_2_3_4_5],[1_6]
1618,安静 而且 安全 。,3,1,[0_1_2],[3]
1619,街道 停车 。,2,1,[0_1],[2]
1620,四 卧室 ， 一 厅 ， 一 卫 ， 一 厨房 ， 房间 阳光 明媚 ， 干净 整洁 ， 家具 齐全 。,15,7,[0_1_3_4_6_7_9_10_12_13_14_16_17_19_20],[2_5_8_11_15_18_21]
1621,拎包 入住 。,2,1,[0_1],[2]
1622,去年 暑期 短 租 的 房客 评价 也 是 非常 好 。,11,1,[0_1_2_3_4_5_6_7_8_9_10],[11]
1623,餐厅 和 客厅 有 沙发 餐桌 等 。,7,1,[0_1_2_3_4_5_6],[7]
1624,客厅 不 住 人 ， 各自 有 各自 的 房间 和 洗手间 。,11,2,[0_1_2_3_5_6_7_8_9_10_11],[4_12]
1625,附送 床 、 桌子 、 沙发 、 厨具 等 全 套 家具 。,9,4,[0_1_3_5_7_8_9_10_11],[2_4_6_12]
1626,去 匹 大 也 有 直通 公交 。,7,1,[0_1_2_3_4_5_6],[7]
1627,再次 感谢 ！,2,1,[0_1],[2]
1628,有 两 个 卧室 出租 ， 都 有 家具 。,8,2,[0_1_2_3_4_6_7_8],[5_9]
1629,以上 两 个 房间 ： 5/24-7/31 .,4,3,[0_1_2_3],[4_5_6]
1630,如果 只 租 一 个 月 也 可以 联系 。,9,1,[0_1_2_3_4_5_6_7_8],[9]
1631,卧室 空间 大 ， 家具 可 送 ， 绝对 拎包 入住 !,9,3,[0_1_2_4_5_6_8_9_10],[3_7_11]
1632,客厅 超大 ， 有 餐桌 电视 沙发 ， 并且 是 落地窗 。,9,3,[0_1_3_4_5_6_8_9_10],[2_7_11]
1633,欢迎 有 兴趣 的 朋友 或者 短 租 的 朋友 联系 ， 可 随时 联系 看 房 ， 非常 感谢 。,18,3,[0_1_2_3_4_5_6_7_8_9_10_12_13_14_15_16_18_19],[11_17_20]
1634,短 租 可 只 租 一 间 ， 原价 $460 左右 ， 价格 可 议 。,12,4,[0_1_2_3_4_5_6_8_10_12_13_14],[7_9_11_15]
1635,出租 客厅 。,2,1,[0_1],[2]
1636,这 是 公寓 图片 的 链接 ， 环境 舒适 。,8,2,[0_1_2_3_4_5_7_8],[6_9]
1637,请 参照 图 ， 这 是 链接 地址 。,7,2,[0_1_2_4_5_6_7],[3_8]
1638,安静 ， 邻居 不 吵闹 ；,4,2,[0_2_3_4],[1_5]
1639,最好 有 车库 ；,3,1,[0_1_2],[3]
1640,房租 为 $740 / month+utility 。,2,4,[0_1],[2_3_4_5]
1641,另 ： 出 全 套 家具 ， 打包 $400,6,3,[0_2_3_4_5_7],[1_6_8]
1642,长短 租 均 可 。,4,1,[0_1_2_3],[4]
1643,合同 可以 和 房东 直接 签 。,6,1,[0_1_2_3_4_5],[6]
1644,有 兴趣 快 联系 哦 。,5,1,[0_1_2_3_4],[5]
1645,公共 车库 免费 使用 。,4,1,[0_1_2_3],[4]
1646,现在 随时 可以 出租 哦 ！,5,1,[0_1_2_3_4],[5]
1647,不可以 养 宠物 （ 特别 可爱 的 可以 通融,8,1,[0_1_2_4_5_6_7_8],[3]
1648,卧室 家具 网络 齐全 。,4,1,[0_1_2_3],[4]
1649,小区 安静 安全 。,3,1,[0_1_2],[3]
1650,时间 3/27 开始 ， 暑期 结束 。,4,3,[0_2_4_5],[1_3_6]
1651,管理 公司 包 水电 暖气 ， 冬天 暖气 很 给 力 ， 屋子 里面 很 暖和 ， 匹兹堡 的 冬天 比较 长 ， 给 力 的 暖气 是 必须 的 。,26,5,[0_1_2_3_4_6_7_8_9_10_12_13_14_15_17_18_19_20_21_23_24_25_26_27_28_29],[5_11_16_22_30]
1652,公寓 结构 设计 客厅 和 卧室 相对 独立 ， 互 不 影响 。,11,2,[0_1_2_3_4_5_6_7_9_10_11],[8_12]
1653,我 替 匹 大 的 朋友 发 在 这里,9,0,[0_1_2_3_4_5_6_7_8],
1654,本人 在 此 居住 了 一 年 半 一直 很 喜欢 这里 。,12,1,[0_1_2_3_4_5_6_7_8_9_10_11],[12]
1655,的 客厅 .,2,1,[0_1],[2]
1656,家具 都 有 .,3,1,[0_1_2],[3]
1657,直接 入住 .,2,1,[0_1],[2]
1658,完美 地段 。,2,1,[0_1],[2]
1659,平均 每 个 卧室 大约 760-780 。,5,2,[0_1_2_3_4],[5_6]
1660,麻烦 联系 的 时候 简单 自我 介绍 一下 ， 方便 识别 虚假 信息 、 提高 效率 ， 多谢 ！,15,4,[0_1_2_3_4_5_6_7_9_10_11_12_14_15_17],[8_13_16_18]
1661,家具 可 商量 ！,3,1,[0_1_2],[3]
1662,长短 租 均 可 顶,5,0,[0_1_2_3_4],
1663,时间 ： 3.,1,2,[0],[1_2]
1664,房租 ： 原价 $450 / 月 全 包 ， 价钱 可 商量 。,8,5,[0_2_5_6_7_9_10_11],[1_3_4_8_12]
1665,房间 整洁 宽敞 ， 采光 很 好 ， 室内 有 沙发 。,9,3,[0_1_2_4_5_6_8_9_10],[3_7_11]
1666,客厅 完全 隔离 ， 所有 遮光 布 屏风 窗帘 配备 齐全 。,10,2,[0_1_2_4_5_6_7_8_9_10],[3_11]
1667,位于 顶楼 ， 窗外 风景 优美 。,5,2,[0_1_3_4_5],[2_6]
1668,非常 感谢 ！,2,1,[0_1],[2]
1669,目前 家具 都 在 ， 有 需要 的 可以 商议 留下 。,10,2,[0_1_2_3_5_6_7_8_9_10],[4_11]
1670,生活 安静 健康 顶 一下 ！,5,1,[0_1_2_3_4],[5]
1671,顶 一下 ， 大家 看 过来 ~ 日常 顶 一下 。,8,3,[0_1_3_4_5_7_8_9],[2_6_10]
1672,地理 位置 ： 地段 非常 好 ！,5,2,[0_1_3_4_5],[2_6]
1673,治安 也 很 好 ！,4,1,[0_1_2_3],[4]
1674,住户 基本 都 是 学生 。,5,1,[0_1_2_3_4],[5]
1675,交通 ： 交通 极为 发达 ， 极为 发达 ， 极为 发达 ！,8,4,[0_2_3_4_6_7_9_10],[1_5_8_11]
1676,具体 时间 和 价格 可以 商量 。,6,1,[0_1_2_3_4_5],[6]
1677,水电 暖 全 包 ， 房租 每 月 467.,7,2,[0_1_2_3_5_6_7],[4_8]
1678,即 搬 即 住 。,4,1,[0_1_2_3],[4]
1679,户型 入 附件 图片 所 示 ：,6,1,[0_1_2_3_4_5],[6]
1680,年 平均 总 租金 $430 / 月 左右 。,6,3,[0_1_2_3_6_7],[4_5_8]
1681,出租 一 间 卧室 ， 自 带 家具 ， 可 拎包 入住 ；,10,3,[0_1_2_3_5_6_7_9_10_11],[4_8_12]
1682,卧室 大 （ 约 16m^2 ） ， 采光 好 ；,5,5,[0_1_3_7_8],[2_4_5_6_9]
